"","spot_coordinates","cluster_id"
"1","22x38","0"
"2","23x37","2"
"3","23x39","0"
"4","23x41","0"
"5","24x34","0"
"6","24x36","2"
"7","24x38","2"
"8","24x40","0"
"9","24x42","3"
"10","25x21","0"
"11","25x23","2"
"12","25x25","3"
"13","25x27","0"
"14","25x29","0"
"15","25x31","1"
"16","25x33","1"
"17","25x35","0"
"18","25x37","2"
"19","25x39","0"
"20","25x41","0"
"21","25x43","1"
"22","26x20","1"
"23","26x22","0"
"24","26x24","0"
"25","26x26","2"
"26","26x28","1"
"27","26x30","0"
"28","26x32","1"
"29","26x34","1"
"30","26x36","0"
"31","26x38","3"
"32","26x40","0"
"33","26x42","0"
"34","26x44","0"
"35","26x46","0"
"36","26x48","0"
"37","26x50","0"
"38","27x17","0"
"39","27x19","3"
"40","27x21","1"
"41","27x23","0"
"42","27x25","2"
"43","27x27","1"
"44","27x29","1"
"45","27x31","1"
"46","27x33","0"
"47","27x35","0"
"48","27x37","3"
"49","27x39","3"
"50","27x41","3"
"51","27x43","5"
"52","27x45","0"
"53","27x47","0"
"54","27x49","3"
"55","27x51","0"
"56","28x16","0"
"57","28x18","2"
"58","28x20","1"
"59","28x22","0"
"60","28x24","2"
"61","28x26","3"
"62","28x28","0"
"63","28x30","1"
"64","28x32","0"
"65","28x34","1"
"66","28x36","3"
"67","28x38","0"
"68","28x40","0"
"69","28x42","0"
"70","28x44","0"
"71","28x46","0"
"72","28x48","4"
"73","28x50","0"
"74","28x52","0"
"75","29x15","1"
"76","29x17","2"
"77","29x19","3"
"78","29x21","3"
"79","29x23","3"
"80","29x25","0"
"81","29x27","0"
"82","29x29","0"
"83","29x31","0"
"84","29x33","1"
"85","29x35","1"
"86","29x37","0"
"87","29x39","1"
"88","29x41","3"
"89","29x43","0"
"90","29x45","2"
"91","29x47","0"
"92","29x49","1"
"93","29x51","0"
"94","29x53","0"
"95","30x12","4"
"96","30x14","0"
"97","30x16","1"
"98","30x18","0"
"99","30x20","0"
"100","30x22","1"
"101","30x24","1"
"102","30x26","3"
"103","30x28","3"
"104","30x30","0"
"105","30x32","1"
"106","30x34","1"
"107","30x36","1"
"108","30x38","1"
"109","30x40","1"
"110","30x42","0"
"111","30x44","5"
"112","30x46","4"
"113","30x48","0"
"114","30x50","0"
"115","30x52","0"
"116","31x13","0"
"117","31x15","1"
"118","31x17","1"
"119","31x19","3"
"120","31x21","0"
"121","31x23","1"
"122","31x25","0"
"123","31x27","2"
"124","31x29","3"
"125","31x31","4"
"126","31x33","1"
"127","31x35","5"
"128","31x37","0"
"129","31x39","1"
"130","31x41","0"
"131","31x43","0"
"132","31x45","0"
"133","31x47","0"
"134","31x49","1"
"135","31x51","0"
"136","31x53","5"
"137","31x55","0"
"138","32x12","3"
"139","32x14","0"
"140","32x16","0"
"141","32x18","1"
"142","32x20","0"
