"","spot_coordinates","cluster_id"
"1","18x30","0"
"2","18x32","0"
"3","18x34","0"
"4","19x29","1"
"5","19x31","4"
"6","19x33","1"
"7","19x35","2"
"8","20x28","1"
"9","20x30","1"
"10","20x32","1"
"11","20x34","0"
"12","20x36","0"
"13","20x38","3"
"14","21x29","1"
"15","21x31","1"
"16","21x33","0"
"17","21x35","3"
"18","21x37","0"
"19","21x39","0"
"20","22x28","1"
"21","22x30","1"
"22","22x32","1"
"23","22x34","3"
"24","22x36","1"
"25","22x38","3"
"26","22x40","2"
"27","23x29","1"
"28","23x31","1"
"29","23x33","0"
"30","23x35","1"
"31","23x37","1"
"32","23x39","0"
"33","23x41","0"
"34","23x43","1"
"35","24x28","1"
"36","24x30","1"
"37","24x32","0"
"38","24x34","1"
"39","24x36","0"
"40","24x38","0"
"41","24x40","1"
"42","24x42","1"
"43","24x44","3"
"44","25x27","1"
"45","25x29","0"
"46","25x31","0"
"47","25x33","0"
"48","25x35","3"
"49","25x37","0"
"50","25x39","1"
"51","25x41","1"
"52","25x43","1"
"53","25x45","2"
"54","26x26","1"
"55","26x28","0"
"56","26x30","2"
"57","26x32","2"
"58","26x34","1"
"59","26x36","0"
"60","26x38","0"
"61","26x40","2"
"62","26x42","4"
"63","26x44","0"
"64","26x46","0"
"65","26x48","0"
"66","27x25","1"
"67","27x27","1"
"68","27x29","3"
"69","27x31","3"
"70","27x33","0"
"71","27x35","0"
"72","27x37","0"
"73","27x39","0"
"74","27x41","0"
"75","27x43","0"
"76","27x45","2"
"77","27x47","0"
"78","27x49","0"
"79","28x24","1"
"80","28x26","1"
"81","28x28","1"
"82","28x30","1"
"83","28x32","0"
"84","28x34","0"
"85","28x36","2"
"86","28x38","0"
"87","28x40","0"
"88","28x42","0"
"89","28x44","0"
"90","28x46","1"
"91","28x48","2"
"92","29x23","1"
"93","29x25","0"
"94","29x27","1"
"95","29x29","1"
"96","29x31","0"
"97","29x33","0"
"98","29x35","3"
"99","29x37","1"
"100","29x39","0"
"101","29x41","3"
"102","29x43","0"
"103","29x45","0"
"104","29x47","3"
"105","29x49","4"
"106","30x22","3"
"107","30x24","0"
"108","30x26","3"
"109","30x28","0"
"110","30x30","0"
"111","30x32","0"
"112","30x34","1"
"113","30x36","0"
"114","30x38","1"
"115","30x40","3"
"116","30x42","1"
"117","30x44","0"
"118","30x46","1"
"119","30x48","4"
"120","30x50","4"
"121","31x21","1"
"122","31x23","0"
"123","31x25","4"
"124","31x27","3"
"125","31x29","2"
"126","31x31","3"
"127","31x33","2"
"128","31x35","2"
"129","31x37","3"
"130","31x39","3"
"131","31x41","0"
"132","31x43","1"
"133","31x45","1"
"134","31x47","1"
"135","31x49","4"
"136","31x51","2"
"137","32x22","1"
"138","32x24","2"
"139","32x26","0"
"140","32x28","3"
"141","32x30","0"
"142","32x32","0"
"143","32x34","3"
"144","32x36","0"
"145","32x38","0"
"146","32x40","3"
"147","32x42","3"
"148","32x44","4"
"149","32x46","0"
"150","32x48","4"
"151","32x50","2"
"152","32x52","1"
"153","33x21","5"
"154","33x23","3"
"155","33x25","0"
"156","33x27","2"
"157","33x29","0"
"158","33x31","0"
"159","33x33","1"
"160","33x35","0"
"161","33x37","3"
"162","33x39","3"
"163","33x41","1"
"164","33x43","0"
"165","33x45","4"
"166","33x47","1"
"167","33x49","0"
"168","33x51","0"
"169","33x53","4"
"170","34x20","2"
"171","34x22","1"
"172","34x24","0"
"173","34x26","2"
"174","34x28","2"
"175","34x30","0"
"176","34x32","1"
"177","34x34","1"
"178","34x36","0"
"179","34x38","2"
"180","34x40","0"
"181","34x42","3"
"182","34x44","3"
"183","34x46","1"
"184","34x48","1"
"185","34x50","0"
"186","34x52","0"
"187","35x19","0"
"188","35x21","0"
"189","35x23","0"
"190","35x25","3"
"191","35x27","1"
"192","35x29","1"
"193","35x31","0"
"194","35x33","0"
"195","35x35","1"
"196","35x37","0"
"197","35x39","4"
"198","35x41","1"
"199","35x43","0"
"200","35x45","3"
"201","35x47","1"
"202","35x49","1"
"203","35x51","1"
"204","35x53","0"
"205","36x20","1"
"206","36x22","0"
"207","36x24","3"
"208","36x26","0"
"209","36x28","1"
"210","36x30","0"
"211","36x32","3"
"212","36x34","0"
"213","36x36","0"
"214","36x38","0"
"215","36x40","3"
"216","36x42","2"
"217","36x44","1"
"218","36x46","0"
"219","36x48","3"
"220","36x50","0"
"221","36x52","1"
"222","37x19","0"
"223","37x21","0"
"224","37x23","3"
"225","37x25","4"
"226","37x27","0"
"227","37x29","3"
"228","37x31","0"
"229","37x33","0"
"230","37x35","1"
"231","37x37","0"
"232","37x39","0"
"233","37x41","3"
"234","37x43","3"
"235","37x45","1"
"236","37x47","0"
"237","37x49","2"
"238","37x51","0"
"239","38x20","0"
"240","38x22","0"
"241","38x24","0"
"242","38x26","4"
"243","38x28","0"
"244","38x30","2"
"245","38x32","0"
"246","38x34","1"
"247","38x36","1"
"248","38x38","0"
"249","38x40","0"
"250","38x42","0"
"251","38x44","1"
"252","38x46","0"
"253","38x48","1"
"254","38x50","0"
"255","39x21","0"
"256","39x23","2"
"257","39x25","3"
"258","39x27","1"
"259","39x29","3"
"260","39x31","2"
"261","39x33","0"
"262","39x35","1"
"263","39x37","1"
"264","39x39","1"
"265","39x41","0"
"266","39x43","0"
"267","39x45","3"
"268","39x47","0"
"269","39x49","0"
"270","40x18","0"
"271","40x20","5"
"272","40x22","0"
"273","40x24","0"
"274","40x26","4"
"275","40x28","1"
"276","40x30","0"
"277","40x32","0"
"278","40x34","4"
"279","40x36","1"
"280","40x38","1"
"281","40x40","2"
"282","40x42","4"
"283","40x44","0"
"284","40x46","0"
"285","40x48","1"
"286","41x17","0"
"287","41x19","4"
"288","41x21","5"
"289","41x23","3"
"290","41x25","0"
"291","41x27","3"
"292","41x29","1"
"293","41x31","0"
"294","41x33","2"
"295","41x35","3"
"296","41x37","3"
"297","41x39","3"
"298","41x41","0"
"299","41x43","0"
"300","41x45","2"
"301","41x47","0"
"302","42x16","0"
"303","42x18","0"
"304","42x20","0"
"305","42x22","0"
"306","42x24","0"
