"","spot_coordinates","cluster_id"
"1","7x53","1"
"2","8x50","0"
"3","8x52","0"
"4","8x54","0"
"5","8x56","0"
"6","9x49","0"
"7","9x51","0"
"8","9x53","4"
"9","9x55","0"
"10","9x57","0"
"11","10x46","0"
"12","10x48","0"
"13","10x50","1"
"14","10x52","0"
"15","10x54","1"
"16","10x56","3"
"17","11x47","2"
"18","11x49","0"
"19","11x51","0"
"20","11x53","0"
"21","11x55","0"
"22","11x57","0"
"23","12x44","0"
"24","12x46","0"
"25","12x48","2"
"26","12x50","1"
"27","12x52","2"
"28","12x54","0"
"29","12x56","2"
"30","12x58","0"
"31","13x45","4"
"32","13x47","0"
"33","13x49","2"
"34","13x51","1"
"35","13x53","2"
"36","13x55","0"
"37","13x57","0"
"38","14x44","1"
"39","14x46","0"
"40","14x48","0"
"41","14x50","0"
"42","14x52","0"
"43","14x54","0"
"44","14x56","0"
"45","14x58","0"
"46","15x43","2"
"47","15x45","0"
"48","15x47","1"
"49","15x49","0"
"50","15x51","2"
"51","15x53","0"
"52","15x55","0"
"53","15x57","0"
"54","16x42","0"
"55","16x44","0"
"56","16x46","2"
"57","16x48","3"
"58","16x50","0"
"59","16x52","0"
"60","16x54","0"
"61","16x56","0"
"62","16x58","2"
"63","17x41","3"
"64","17x43","0"
"65","17x45","0"
"66","17x47","0"
"67","17x49","1"
"68","17x51","0"
"69","17x53","0"
"70","17x55","0"
"71","17x57","2"
"72","18x40","0"
"73","18x42","3"
"74","18x44","1"
"75","18x46","3"
"76","18x48","1"
"77","18x50","0"
"78","18x52","0"
"79","18x54","0"
"80","18x56","0"
"81","18x58","0"
"82","19x39","3"
"83","19x41","0"
"84","19x43","3"
"85","19x45","1"
"86","19x47","0"
"87","19x49","4"
"88","19x51","3"
"89","19x53","1"
"90","19x55","0"
"91","19x57","1"
"92","20x38","0"
"93","20x40","0"
"94","20x42","0"
"95","20x44","0"
"96","20x46","1"
"97","20x48","1"
"98","20x50","3"
"99","20x52","0"
"100","20x54","1"
"101","20x56","0"
"102","20x58","0"
"103","21x37","0"
"104","21x39","2"
"105","21x41","1"
"106","21x43","0"
"107","21x45","0"
"108","21x47","3"
"109","21x49","1"
"110","21x51","1"
"111","21x53","4"
"112","21x55","3"
"113","21x57","0"
"114","22x36","2"
"115","22x38","1"
"116","22x40","0"
"117","22x42","0"
"118","22x44","0"
"119","22x46","0"
"120","22x48","3"
"121","22x50","0"
"122","22x52","0"
"123","22x54","0"
"124","22x56","1"
"125","23x35","1"
"126","23x37","1"
"127","23x39","2"
"128","23x41","1"
"129","23x43","0"
"130","23x45","0"
"131","23x47","0"
"132","23x49","3"
"133","23x51","1"
"134","23x53","1"
"135","23x55","3"
"136","23x57","1"
"137","24x20","0"
"138","24x22","0"
"139","24x34","0"
"140","24x36","1"
"141","24x38","0"
"142","24x40","1"
"143","24x42","0"
"144","24x44","2"
"145","24x46","0"
"146","24x48","4"
"147","24x50","1"
"148","24x52","0"
"149","24x54","1"
"150","24x56","1"
"151","25x17","0"
"152","25x19","1"
"153","25x21","3"
"154","25x23","0"
"155","25x33","1"
"156","25x35","1"
"157","25x37","1"
"158","25x39","1"
"159","25x41","0"
"160","25x43","0"
"161","25x45","2"
"162","25x47","0"
"163","25x49","1"
"164","25x51","0"
"165","25x53","3"
"166","25x55","1"
"167","25x57","0"
"168","26x16","3"
"169","26x18","0"
"170","26x20","1"
"171","26x22","0"
"172","26x24","1"
"173","26x32","0"
"174","26x34","1"
"175","26x36","1"
"176","26x38","3"
"177","26x40","2"
"178","26x42","0"
"179","26x44","0"
"180","26x46","2"
"181","26x48","0"
"182","26x50","1"
"183","26x52","1"
"184","26x54","3"
"185","26x56","0"
"186","27x15","0"
"187","27x17","0"
"188","27x19","0"
"189","27x21","3"
"190","27x23","0"
"191","27x25","0"
"192","27x29","0"
"193","27x31","1"
"194","27x33","1"
"195","27x35","2"
"196","27x37","0"
"197","27x39","0"
"198","27x41","0"
"199","27x43","0"
"200","27x45","0"
"201","27x47","1"
"202","27x49","2"
"203","27x51","4"
"204","27x53","0"
"205","27x55","2"
"206","28x16","1"
"207","28x18","0"
"208","28x20","0"
"209","28x22","2"
"210","28x24","0"
"211","28x26","0"
"212","28x28","1"
"213","28x30","0"
"214","28x32","1"
"215","28x34","0"
"216","28x36","3"
"217","28x38","1"
"218","28x40","3"
"219","28x42","1"
"220","28x44","1"
"221","28x46","1"
"222","28x48","0"
"223","28x50","0"
"224","28x52","0"
"225","28x54","2"
"226","28x56","3"
"227","29x15","1"
"228","29x17","1"
"229","29x19","0"
"230","29x21","0"
"231","29x23","3"
"232","29x25","0"
"233","29x27","0"
"234","29x29","1"
"235","29x31","0"
"236","29x33","0"
"237","29x35","0"
"238","29x37","1"
"239","29x39","1"
"240","29x41","0"
"241","29x43","1"
"242","29x45","3"
"243","29x47","1"
"244","29x49","0"
"245","29x51","0"
"246","29x53","4"
"247","29x55","0"
"248","30x16","1"
"249","30x18","0"
"250","30x20","0"
"251","30x22","0"
"252","30x24","1"
"253","30x26","3"
"254","30x28","0"
"255","30x30","0"
"256","30x32","0"
"257","30x34","0"
"258","30x36","1"
"259","30x38","3"
"260","30x40","1"
"261","30x42","0"
"262","30x44","3"
"263","30x46","1"
"264","30x48","1"
"265","30x50","0"
"266","30x52","1"
"267","30x54","0"
"268","30x56","1"
"269","31x15","3"
"270","31x17","4"
"271","31x19","2"
"272","31x21","0"
"273","31x23","0"
"274","31x25","1"
"275","31x27","0"
"276","31x29","3"
"277","31x31","0"
"278","31x33","0"
"279","31x35","0"
"280","31x37","1"
"281","31x39","2"
"282","31x41","0"
"283","31x43","1"
"284","31x45","0"
"285","31x47","0"
"286","31x49","1"
"287","31x51","1"
"288","31x53","1"
"289","31x55","1"
"290","32x14","5"
"291","32x16","0"
"292","32x18","0"
"293","32x20","4"
"294","32x22","3"
"295","32x24","0"
"296","32x26","0"
"297","32x28","1"
"298","32x30","1"
"299","32x32","0"
"300","32x34","2"
"301","32x36","0"
"302","32x38","0"
"303","32x40","0"
"304","32x42","0"
"305","32x44","0"
"306","32x46","2"
"307","32x48","1"
"308","32x50","4"
"309","32x52","1"
"310","32x54","1"
