p_val avg_log2FC pct.1 pct.2 p_val_adj
Ctsc 2.28991694350924e-172 1.24413314341861 0.948 0.596 4.05315299001135e-170
Hsd11b1 8.70182278092e-96 0.451119208613177 1 1 1.54022263222284e-93
Ly6e 1.47769742413187e-15 0.314116081991545 0.818 0.685 2.6155244407134e-13
Fgfr2 2.23138330268797e-12 0.241450029483494 0.324 0.185 3.94954844575771e-10
Cp 9.67373607383172e-16 0.226063074810903 0.997 0.988 1.71225128506821e-13
Slc40a1 2.61666399449228e-08 0.216777906976699 0.604 0.5 4.63149527025133e-06
G0s2 3.30850338967467e-07 0.199882513753075 0.626 0.524 5.85605099972416e-05
H2-K1 2.28246327946257e-16 0.189598252995439 1 1 4.03996000464875e-14
H2-D1 0.000214685431425705 0.147444630439835 0.817 0.769 0.0379993213623497
Lgmn 0.000272295819813248 0.140384615412608 0.487 0.404 0.0481963601069449
H2-Q7 1.34472015674428e-05 0.131018187242635 0.281 0.196 0.00238015467743738
Rasgrp2 1.09064223666601e-07 0.112808263911913 0.156 0.074 1.93043675889884e-05
Tmem141 2.28061577751377e-05 0.104870930656978 0.179 0.108 0.00403668992619938
B2m 1.78022826383743e-08 0.0822009561042911 1 1 3.15100402699226e-06
Tmem47 1.92608624859303e-05 -0.0796607448913391 0.068 0.125 0.00340917266000966
Lamp2 3.16370654499206e-05 -0.0892022119924611 1 1 0.00559976058463594
Apoe 3.0671598241898e-19 -0.0944861180543715 1 1 5.42887288881594e-17
Pam 3.47775840883615e-05 -0.101554587324136 0.175 0.254 0.00615563238363999
Calcrl 2.44699425105329e-05 -0.117348400245972 0.18 0.258 0.00433117982436432
Acaa2 9.00621473999058e-09 -0.135478983064649 0.997 1 1.59410000897833e-06
Tgfbi 7.73024493535651e-06 -0.151946086131732 0.282 0.375 0.0013682533535581
Fermt2 1.62276980085777e-05 -0.15925544590548 0.451 0.533 0.00287230254751826
Agtr1a 4.39212921465845e-06 -0.162572241257591 0.553 0.644 0.000777406870994545
Ecm1 2.3286416366094e-05 -0.16304265952089 0.621 0.679 0.00412169569679864
Dnaja1 3.28846957784171e-05 -0.163182864295297 0.442 0.526 0.00582059115277983
Abcc9 2.8027148184034e-09 -0.166341663214506 0.124 0.224 4.96080522857402e-07
Eng 4.94864748824643e-08 -0.194039867440957 0.363 0.476 8.75910605419618e-06
Dusp6 3.94191779567379e-12 -0.214352929830356 0.257 0.4 6.9771944983426e-10
Reln 1.72126338059373e-14 -0.254235547065193 0.335 0.499 3.04663618365091e-12
Rspo3 2.89058220659439e-30 -0.266987908671815 0.051 0.219 5.11633050567207e-28
Lifr 2.46456898284188e-55 -0.514605121155138 0.89 0.974 4.36228709963013e-53
Dcn 2.32706560771227e-45 -0.524137890240274 0.899 0.963 4.11890612565073e-43
