,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Oat,5.68435081437186e-273,1.32037901557542,1,0.955,5.4831247955431e-269
Glul,8.66211325165148e-265,1.40634727844177,1,0.861,8.35547444254302e-261
Slc1a2,2.02794410474682e-264,1.11914197755148,0.955,0.407,1.95615488343878e-260
Cyp2e1,9.10903388953268e-206,0.753463875660845,1,0.994,8.78657408984323e-202
Cyp2c37,2.28904096603405e-199,0.677139875022233,1,0.989,2.20800891583644e-195
Cyp2a5,1.11619364432371e-186,0.81198196770465,0.993,0.782,1.07668038931465e-182
Gulo,7.89107380274831e-178,0.734313202215359,0.997,0.87,7.61172979013102e-174
Cyp2c29,1.03601218553666e-177,0.4758999544883,1,1,9.99337354168665e-174
Lect2,2.9690805538159e-173,0.680551958405542,1,0.927,2.86397510221082e-169
Slc22a1,3.22243783712757e-167,0.705226841394218,0.997,0.931,3.10836353769326e-163
Cyp1a2,4.11684558646334e-161,0.58938394892039,1,0.978,3.97110925270254e-157
Aldh1a1,2.69639237039508e-149,0.621310211149602,1,0.986,2.6009400804831e-145
Rnase4,8.80317590974282e-146,0.428163750215312,1,1,8.49154348253792e-142
Akr1c6,8.08805613609628e-131,0.408317565368009,1,0.999,7.80173894887847e-127
Rgn,8.26968339778445e-127,0.45945778715523,1,0.999,7.97693660550288e-123
Ang,2.652869383165e-122,0.478378297314977,1,0.979,2.55895780700096e-118
Cyp2d9,2.06461899307858e-117,0.527520580723488,0.723,0.293,1.9915314807236e-113
Cyp3a11,3.08213414533375e-115,0.40840248015454,1,1,2.97302659658894e-111
Cyp2c69,5.3886824389916e-114,0.383376467081687,1,1,5.19792308065129e-110
Pon1,3.42157436876855e-112,0.349607924399877,1,1,3.30045063611415e-108
Rhbg,1.29729129140999e-110,0.403549355659866,0.49,0.128,1.25136717969407e-106
Slco1b2,9.40336215046711e-109,0.395408764650318,1,0.997,9.07048313034057e-105
Cyp4a14,6.84469200596865e-107,0.550566675462873,0.974,0.777,6.60238990895736e-103
Cyp4a10,3.22852119885354e-106,0.568800900250965,0.984,0.886,3.11423154841413e-102
Lhpp,9.68072820139343e-104,0.484048170085453,0.656,0.254,9.3380304230641e-100
Cyp2c50,5.65185117285896e-101,0.382038409911767,1,0.999,5.45177564133976e-97
Gstm3,6.32615931847964e-101,0.522926677890017,0.749,0.348,6.10221327860546e-97
Mup17,2.45857258675291e-92,0.762791739048085,0.875,0.766,2.37153911718186e-88
Car3,3.09724795873832e-86,0.285059536163821,1,1,2.98760538099899e-82
Gstm1,4.96196320572809e-83,0.309219422047178,1,1,4.78630970824532e-79
Sord,3.8163104552331e-82,0.303649679920144,1,1,3.68121306511785e-78
Slc13a3,9.10249766751865e-80,0.283498329749056,0.353,0.085,8.78026925008849e-76
Aldh3a2,6.46729620173312e-78,0.454653429959526,0.941,0.748,6.23835391619177e-74
Gsta3,9.6199605375442e-70,0.279805569222306,1,1,9.27941393451513e-66
Cyp2c54,2.02820367711034e-66,0.383534200423825,0.997,0.973,1.95640526694063e-62
Mug1,9.61007538249883e-66,0.228185591719847,1,1,9.26987871395837e-62
Gstm2,8.38334896722085e-62,0.355462002392957,0.633,0.309,8.08657841378123e-58
Slco1a1,9.79092123522312e-61,0.387646857640588,0.879,0.635,9.44432262349622e-57
Comt,1.25845376983095e-58,0.333511068173258,0.995,0.973,1.21390450637893e-54
Mgst1,8.14382623479472e-58,0.187082073259934,1,1,7.85553478608299e-54
Acot1,3.01912306326828e-57,0.281568323755334,0.474,0.187,2.91224610682858e-53
Sult3a1,4.62590290170359e-56,0.386741188864176,0.656,0.351,4.46214593898328e-52
Pah,3.03699540757099e-54,0.27290903300344,1,1,2.92948577014298e-50
Slc16a10,1.59237592680982e-53,0.364368705500296,0.792,0.519,1.53600581900075e-49
Blvrb,4.43124914183134e-53,0.38205166514092,0.791,0.539,4.27438292221051e-49
Serpina6,1.41960839924162e-52,0.303753684840185,0.993,0.973,1.36935426190847e-48
Serpina7,1.76593323352036e-52,0.231703209225127,0.322,0.1,1.70341919705374e-48
Cyb5a,3.43204896518582e-50,0.312149986770462,0.998,0.989,3.31055443181824e-46
Nxpe2,1.84333078726772e-49,0.272360034790287,0.436,0.179,1.77807687739845e-45
Ugt2b1,2.88132355498027e-49,0.299696323255158,0.988,0.953,2.77932470113397e-45
Slc1a4,9.25076708257449e-49,0.21195924662779,0.32,0.104,8.92328992785136e-45
Aldh2,1.54408919395971e-48,0.220759327076332,1,1,1.48942843649354e-44
