,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Cyp2f2,1.54060003343495e-272,0.691501379474931,0.999,0.966,1.48606279225136e-268
Hal,7.50965799201131e-258,0.628591855196362,0.996,0.891,7.24381609909411e-254
Sds,8.58552295207838e-229,0.723493595216279,0.903,0.52,8.2815954395748e-225
Hsd17b13,5.05492953651799e-215,0.612970507808893,0.99,0.843,4.87598503092526e-211
Ctsc,8.20361933590398e-199,0.581893446375293,0.951,0.731,7.91321121141298e-195
Rida,1.13972674667782e-194,0.403847960887346,1,0.998,1.09938041984542e-190
Aldh1b1,1.30237442224732e-181,0.588880032183678,0.723,0.301,1.25627036769976e-177
A1bg,8.88352401750985e-145,0.546493476034057,0.961,0.797,8.56904726729001e-141
Alb,3.95444187163844e-131,0.172910891371499,1,1,3.81445462938244e-127
Hpx,1.10016325278055e-129,0.252268795186462,1,1,1.06121747363212e-125
Etnppl,2.72092906968171e-124,0.453442611366737,0.74,0.389,2.62460818061498e-120
Mup3,1.71154057895851e-117,0.236179882749486,1,1,1.65095204246338e-113
Gls2,1.35044467038138e-111,0.395109895177995,0.955,0.814,1.30263892904988e-107
Arg1,3.18742535256609e-109,0.246093905058982,1,0.999,3.07459049508525e-105
Apoa4,2.19344593368885e-103,0.411027393746864,0.924,0.784,2.11579794763626e-99
Cdh1,4.20362136314235e-99,0.317331079998394,0.477,0.176,4.05481316688711e-95
Fmo3,6.69306092496624e-94,0.395667274507377,0.871,0.697,6.45612656822243e-90
Pck1,3.1351801094754e-90,0.497674734835954,0.926,0.771,3.02419473359997e-86
Aldob,1.36320231144891e-86,0.154403319210062,1,1,1.31494494962362e-82
Pigr,6.84964255773767e-83,0.285823158275655,1,0.996,6.60716521119375e-79
Cps1,8.67144736385484e-81,0.180792307667541,1,1,8.36447812717438e-77
Hsd11b1,2.01551226291895e-80,0.193583816942885,1,1,1.94416312881162e-76
Uroc1,4.27786158740713e-77,0.307124078400654,0.966,0.908,4.12642528721291e-73
Gldc,1.79659401612469e-76,0.330976172095902,0.903,0.767,1.73299458795387e-72
Slc7a2,2.66888021484298e-72,0.391040505017214,0.928,0.805,2.57440185523754e-68
Tat,1.2676321500494e-71,0.244271721367415,0.999,0.994,1.22275797193765e-67
Cyp2a4,1.56119574024922e-71,0.345569715852631,0.934,0.842,1.5059294110444e-67
Hsd17b6,1.54967290415869e-69,0.442766066526374,0.592,0.317,1.49481448335147e-65
Fbp1,4.89608785005189e-68,0.219162836934003,1,0.999,4.72276634016005e-64
Apoa5,8.16677005184489e-67,0.18910024075289,1,1,7.87766639200958e-63
Uox,1.25807789270175e-65,0.213430040081143,1,1,1.21354193530011e-61
Slc3a1,1.33389592574915e-65,0.281584771162728,0.53,0.271,1.28667600997763e-61
Cth,2.38648999556337e-64,0.261915666003557,0.994,0.981,2.30200824972043e-60
G6pc,8.95788438610882e-64,0.314670951984594,0.88,0.759,8.64077527884057e-60
Sepp1,6.20704007388995e-63,0.119613177778998,1,1,5.98731085527425e-59
Gc,1.6199900217734e-61,0.112008706423863,1,1,1.56264237500262e-57
Cyp17a1,1.13246080062306e-58,0.298667852906505,0.755,0.53,1.092371688281e-54
Amdhd1,1.88711697229997e-56,0.285380380849286,0.941,0.841,1.82031303148055e-52
Fgb,2.09989262524865e-56,0.120900517900449,1,1,2.02555642631485e-52
