,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Mettl7b,3.49743987938954e-253,0.765681225504046,0.87,0.01,4.71245049348947e-249,Periportal (PP) hepatocyte(Liver),Mettl7b
Cyp3a25,1.49991333456989e-229,0.38836999512471,0.478,0.002,2.02098322699947e-225,Periportal (PP) hepatocyte(Liver),Cyp3a25
Cyp2c44,5.35603693485577e-194,0.387463787541172,0.478,0.003,7.21672416602467e-190,Periportal (PP) hepatocyte(Liver),Cyp2c44
Slc27a2,2.04924229046373e-193,0.415545937299612,0.522,0.004,2.76114906217084e-189,Periportal (PP) hepatocyte(Liver),Slc27a2
Amy1,1.20426310479965e-181,0.443038311469725,0.522,0.005,1.62262410740705e-177,Periportal (PP) hepatocyte(Liver),Amy1
Prlr,4.98623545568593e-180,0.387010991518041,0.478,0.004,6.71845365299122e-176,Periportal (PP) hepatocyte(Liver),Prlr
Apob,1.91153825139426e-177,0.724185149394397,0.739,0.012,2.57560663992862e-173,Periportal (PP) hepatocyte(Liver),Apob
Cyp2c29,2.15100385453651e-177,0.911183486435883,0.783,0.013,2.8982625936025e-173,Periportal (PP) hepatocyte(Liver),Cyp2c29
Slc38a4,4.17735408344111e-171,0.414641369169185,0.522,0.005,5.62856689202855e-167,Periportal (PP) hepatocyte(Liver),Slc38a4
Mbl2,7.51986344486585e-171,0.850927583369138,0.913,0.02,1.01322640056122e-166,Periportal (PP) hepatocyte(Liver),Mbl2
Cyp2a12,1.52689715292278e-170,0.683874242916664,0.652,0.009,2.05734122384816e-166,Periportal (PP) hepatocyte(Liver),Cyp2a12
Cfi,4.28036260546309e-170,0.570156569115992,0.609,0.008,5.76736057460097e-166,Periportal (PP) hepatocyte(Liver),Cfi
Itih1,1.30425762258459e-167,0.521499633972407,0.565,0.007,1.75735672067047e-163,Periportal (PP) hepatocyte(Liver),Itih1
Cyp2c68,1.37222070964196e-161,0.615532872051362,0.652,0.01,1.84893018417158e-157,Periportal (PP) hepatocyte(Liver),Cyp2c68
Rdh7,1.60006783669483e-161,0.889765793307461,0.826,0.017,2.15593140316261e-157,Periportal (PP) hepatocyte(Liver),Rdh7
Cpb2,4.03192093862285e-157,0.616883311149234,0.609,0.009,5.43261027270042e-153,Periportal (PP) hepatocyte(Liver),Cpb2
Plg,2.53479640805592e-156,0.938384097245708,0.87,0.02,3.41538468021455e-152,Periportal (PP) hepatocyte(Liver),Plg
Cyp2b9,2.64717862312637e-154,0.357158028368359,0.435,0.004,3.56680847680047e-150,Periportal (PP) hepatocyte(Liver),Cyp2b9
Cyp2c70,1.96622906478428e-140,0.568129769638245,0.609,0.01,2.64929704189034e-136,Periportal (PP) hepatocyte(Liver),Cyp2c70
Igfbp1,3.0543405106904e-140,0.522402976400593,0.478,0.006,4.11541840410425e-136,Periportal (PP) hepatocyte(Liver),Igfbp1
Itih4,3.44649604598222e-136,0.873629938184243,0.739,0.016,4.64380877235644e-132,Periportal (PP) hepatocyte(Liver),Itih4
Kng2,5.41503114556847e-136,0.413963479639214,0.478,0.006,7.29621296553896e-132,Periportal (PP) hepatocyte(Liver),Kng2
Proc,2.61865277064101e-132,0.492819006153955,0.565,0.009,3.52837274316169e-128,Periportal (PP) hepatocyte(Liver),Proc
Cyp2a4,1.87422772068519e-130,0.57399621245551,0.391,0.004,2.52533443085123e-126,Periportal (PP) hepatocyte(Liver),Cyp2a4
Hgfac,6.13556768892128e-130,0.357158028368359,0.391,0.004,8.26706390405254e-126,Periportal (PP) hepatocyte(Liver),Hgfac
Serpinf1,2.55812269232992e-129,0.566780848570395,0.609,0.011,3.44681451564533e-125,Periportal (PP) hepatocyte(Liver),Serpinf1
Proz,3.59652113297519e-128,0.263660264103205,0.304,0.002,4.84595257457078e-124,Periportal (PP) hepatocyte(Liver),Proz
Slc27a5,1.26931995137632e-127,0.54546395652562,0.522,0.008,1.71028170248445e-123,Periportal (PP) hepatocyte(Liver),Slc27a5
Cyp2j5,4.33379875058426e-125,0.356931707217682,0.391,0.004,5.83936043653723e-121,Periportal (PP) hepatocyte(Liver),Cyp2j5
Hsd11b1,6.8396589875936e-125,0.929739468436904,0.913,0.029,9.21575651988362e-121,Periportal (PP) hepatocyte(Liver),Hsd11b1
F12,1.63222665624476e-122,0.414415354929326,0.435,0.005,2.19926219662419e-118,Periportal (PP) hepatocyte(Liver),F12
Cyp2d10,1.92153832743913e-122,0.569255262159979,0.522,0.008,2.58908074239148e-118,Periportal (PP) hepatocyte(Liver),Cyp2d10
Apon,3.41790051712312e-122,0.355348891737427,0.435,0.005,4.60527915677169e-118,Periportal (PP) hepatocyte(Liver),Apon
Pzp,3.4681020818862e-122,0.777870739450828,0.739,0.019,4.67292074513347e-118,Periportal (PP) hepatocyte(Liver),Pzp
