"","spot_coordinates","cluster_id"
"1","21x53","0"
"2","21x57","0"
"3","21x59","3"
"4","22x26","1"
"5","22x28","1"
"6","22x30","0"
"7","22x32","3"
"8","22x34","0"
"9","22x36","1"
"10","22x38","1"
"11","22x52","0"
"12","22x54","0"
"13","22x56","1"
"14","22x58","0"
"15","22x60","0"
"16","23x25","0"
"17","23x27","1"
"18","23x29","3"
"19","23x31","0"
"20","23x33","0"
"21","23x35","1"
"22","23x37","0"
"23","23x39","0"
"24","23x41","0"
"25","23x43","3"
"26","23x51","0"
"27","23x53","0"
"28","23x55","1"
"29","23x57","3"
"30","23x59","1"
"31","23x61","0"
"32","24x20","0"
"33","24x22","1"
"34","24x24","2"
"35","24x26","0"
"36","24x28","1"
"37","24x30","0"
"38","24x32","0"
"39","24x34","0"
"40","24x36","0"
"41","24x38","0"
"42","24x40","0"
"43","24x42","0"
"44","24x44","0"
"45","24x46","3"
"46","24x48","3"
"47","24x50","0"
"48","24x52","0"
"49","24x54","0"
"50","24x56","1"
"51","24x58","3"
"52","24x60","1"
"53","24x62","3"
"54","25x17","0"
"55","25x19","0"
"56","25x21","2"
"57","25x23","0"
"58","25x25","2"
"59","25x27","1"
"60","25x29","0"
"61","25x31","0"
"62","25x33","2"
"63","25x35","1"
"64","25x37","0"
"65","25x39","0"
"66","25x41","3"
"67","25x43","0"
"68","25x45","5"
"69","25x47","0"
"70","25x49","0"
"71","25x51","0"
"72","25x53","0"
"73","25x55","0"
"74","25x57","2"
"75","25x59","0"
"76","25x61","0"
"77","26x16","2"
"78","26x18","4"
"79","26x20","0"
"80","26x22","2"
"81","26x24","2"
"82","26x26","2"
"83","26x28","0"
"84","26x30","1"
"85","26x32","2"
"86","26x34","2"
"87","26x36","0"
"88","26x38","0"
"89","26x40","0"
"90","26x42","0"
"91","26x44","5"
"92","26x46","0"
"93","26x48","0"
"94","26x50","1"
"95","26x52","0"
"96","26x54","0"
"97","26x56","2"
"98","26x58","3"
"99","26x60","1"
"100","26x62","0"
"101","27x13","0"
"102","27x15","3"
"103","27x17","0"
"104","27x19","0"
"105","27x21","0"
"106","27x23","0"
"107","27x25","2"
"108","27x27","0"
"109","27x29","1"
"110","27x31","0"
"111","27x33","2"
"112","27x35","3"
"113","27x37","0"
"114","27x39","0"
"115","27x41","0"
"116","27x43","1"
"117","27x45","0"
"118","27x47","0"
"119","27x49","3"
"120","27x51","0"
"121","27x53","0"
"122","27x55","2"
"123","27x57","2"
"124","27x59","1"
"125","27x61","0"
"126","28x12","1"
"127","28x14","1"
"128","28x16","1"
"129","28x18","0"
"130","28x20","0"
"131","28x22","0"
"132","28x24","2"
"133","28x26","0"
"134","28x28","4"
"135","28x30","1"
"136","28x32","2"
"137","28x34","2"
"138","28x36","2"
"139","28x38","0"
"140","28x40","1"
"141","28x42","0"
"142","28x44","1"
"143","28x46","2"
"144","28x48","0"
"145","28x50","0"
"146","28x52","3"
"147","28x54","2"
"148","28x56","2"
"149","28x58","1"
"150","28x60","1"
"151","28x62","2"
"152","29x11","0"
"153","29x13","1"
"154","29x15","1"
"155","29x17","1"
"156","29x19","2"
"157","29x21","2"
"158","29x23","1"
"159","29x25","0"
"160","29x27","0"
"161","29x29","1"
"162","29x31","4"
"163","29x33","3"
"164","29x35","2"
"165","29x37","0"
"166","29x39","1"
"167","29x41","1"
"168","29x43","0"
"169","29x45","0"
"170","29x47","0"
"171","29x49","1"
"172","29x51","2"
"173","29x53","2"
"174","29x55","0"
"175","29x57","0"
"176","29x59","1"
"177","29x61","0"
"178","30x10","0"
"179","30x12","0"
"180","30x14","1"
"181","30x16","0"
"182","30x18","0"
"183","30x20","0"
"184","30x22","1"
"185","30x24","3"
"186","30x26","0"
"187","30x28","0"
"188","30x30","4"
"189","30x32","0"
"190","30x34","0"
"191","30x36","0"
"192","30x38","0"
"193","30x40","0"
"194","30x42","3"
"195","30x44","1"
"196","30x46","1"
"197","30x48","5"
"198","30x50","4"
"199","30x52","3"
"200","30x54","0"
"201","30x56","1"
"202","30x58","1"
"203","30x60","0"
"204","30x62","1"
"205","31x9","1"
"206","31x11","0"
"207","31x13","0"
"208","31x15","0"
"209","31x17","2"
"210","31x19","0"
"211","31x21","0"
"212","31x23","1"
"213","31x25","0"
"214","31x27","0"
"215","31x29","0"
"216","31x31","0"
"217","31x33","1"
"218","31x35","1"
"219","31x37","0"
"220","31x39","5"
"221","31x41","0"
"222","31x43","0"
"223","31x45","0"
"224","31x47","5"
"225","31x49","4"
"226","31x51","1"
"227","31x53","0"
"228","31x55","1"
"229","31x57","3"
"230","31x59","1"
"231","31x61","0"
"232","32x8","1"
"233","32x10","0"
"234","32x12","0"
"235","32x14","1"
"236","32x16","2"
"237","32x18","2"
"238","32x20","1"
"239","32x22","0"
"240","32x24","1"
"241","32x26","0"
"242","32x28","1"
"243","32x30","1"
"244","32x32","0"
"245","32x34","1"
"246","32x36","0"
"247","32x38","0"
"248","32x40","0"
"249","32x42","5"
"250","32x44","4"
"251","32x46","0"
"252","32x48","1"
"253","32x50","0"
"254","32x52","0"
"255","32x54","1"
"256","32x56","1"
"257","32x58","1"
"258","32x60","1"
"259","32x62","1"
"260","33x7","3"
"261","33x9","0"
"262","33x11","0"
"263","33x13","0"
"264","33x15","4"
"265","33x17","3"
"266","33x19","4"
"267","33x21","1"
"268","33x23","1"
"269","33x25","1"
"270","33x27","1"
"271","33x29","1"
"272","33x31","0"
"273","33x33","0"
"274","33x35","0"
"275","33x37","0"
"276","33x39","0"
"277","33x41","1"
"278","33x43","0"
"279","33x45","0"
"280","33x47","0"
"281","33x49","0"
"282","33x51","3"
"283","33x53","0"
"284","33x55","1"
"285","33x57","0"
"286","33x59","0"
"287","33x61","1"
"288","34x6","0"
"289","34x8","0"
"290","34x10","1"
"291","34x12","1"
"292","34x14","0"
"293","34x16","4"
"294","34x18","2"
"295","34x20","0"
"296","34x22","1"
"297","34x24","0"
"298","34x26","0"
"299","34x28","3"
"300","34x30","0"
"301","34x32","0"
"302","34x34","3"
"303","34x36","1"
"304","34x38","0"
"305","34x40","0"
"306","34x42","1"
"307","34x44","1"
"308","34x46","1"
"309","34x48","1"
"310","34x50","0"
"311","34x52","0"
"312","34x54","1"
"313","34x56","0"
"314","34x58","1"
"315","34x60","0"
"316","34x62","0"
"317","35x5","1"
"318","35x7","1"
"319","35x9","1"
"320","35x11","1"
"321","35x13","3"
"322","35x15","4"
"323","35x17","0"
"324","35x19","2"
"325","35x21","2"
"326","35x23","2"
"327","35x25","0"
"328","35x27","0"
"329","35x29","0"
"330","35x31","2"
"331","35x33","2"
"332","35x35","2"
"333","35x37","0"
"334","35x39","0"
"335","35x41","1"
"336","35x43","1"
"337","35x45","1"
"338","35x47","0"
"339","35x49","0"
"340","35x51","0"
"341","35x53","1"
"342","35x55","1"
"343","35x57","2"
"344","35x59","1"
"345","35x61","0"
"346","36x6","0"
"347","36x8","0"
"348","36x10","1"
"349","36x12","0"
"350","36x14","1"
"351","36x16","1"
"352","36x18","0"
"353","36x20","0"
"354","36x22","3"
"355","36x24","0"
"356","36x26","0"
"357","36x28","0"
"358","36x30","0"
"359","36x32","0"
"360","36x34","4"
"361","36x36","0"
"362","36x38","3"
"363","36x40","1"
"364","36x42","1"
"365","36x44","0"
"366","36x46","1"
"367","36x48","3"
"368","36x50","2"
"369","36x52","0"
"370","36x54","1"
"371","36x56","0"
"372","36x58","1"
"373","36x60","1"
"374","37x5","0"
"375","37x7","0"
"376","37x9","0"
"377","37x11","0"
"378","37x13","1"
"379","37x15","4"
"380","37x17","1"
"381","37x19","0"
"382","37x21","0"
"383","37x23","0"
"384","37x25","1"
"385","37x27","0"
"386","37x29","1"
"387","37x31","3"
"388","37x33","1"
"389","37x35","3"
"390","37x37","4"
"391","37x39","0"
"392","37x41","0"
"393","37x43","1"
"394","37x45","2"
"395","37x47","0"
"396","37x49","2"
"397","37x51","0"
"398","37x53","1"
"399","37x55","1"
"400","37x57","0"
"401","37x59","1"
"402","38x6","0"
"403","38x8","0"
"404","38x10","3"
"405","38x12","0"
