"","spot_coordinates","cluster_id"
"1","4x6","0"
"2","4x8","0"
"3","4x10","0"
"4","5x7","0"
"5","5x9","0"
"6","5x11","0"
"7","5x13","0"
"8","5x15","0"
"9","6x6","0"
"10","6x8","0"
"11","6x10","1"
"12","6x12","0"
"13","6x14","0"
"14","6x16","0"
"15","7x7","2"
"16","7x9","3"
"17","7x11","0"
"18","7x13","2"
"19","7x15","0"
"20","7x17","1"
"21","8x6","0"
"22","8x8","0"
"23","8x10","0"
"24","8x12","2"
"25","8x14","0"
"26","8x16","0"
"27","8x18","4"
"28","8x20","5"
"29","9x7","3"
"30","9x9","0"
"31","9x11","0"
"32","9x13","0"
"33","9x15","0"
"34","9x17","0"
"35","9x19","4"
"36","9x21","3"
"37","9x23","1"
"38","9x25","0"
"39","10x6","0"
"40","10x8","0"
"41","10x10","0"
"42","10x12","3"
"43","10x14","4"
"44","10x16","0"
"45","10x18","0"
"46","10x20","0"
"47","10x22","1"
"48","10x24","3"
"49","11x3","0"
"50","11x5","4"
"51","11x7","1"
"52","11x9","1"
"53","11x11","0"
"54","11x13","1"
"55","11x15","5"
"56","11x17","1"
"57","11x19","0"
"58","11x21","1"
"59","11x23","1"
"60","11x25","0"
"61","12x2","3"
"62","12x4","1"
"63","12x6","0"
"64","12x8","1"
"65","12x10","1"
"66","12x12","1"
"67","12x14","5"
"68","12x16","5"
"69","12x18","0"
"70","12x20","0"
"71","12x22","1"
"72","12x24","0"
"73","12x26","2"
"74","13x3","0"
"75","13x5","1"
"76","13x7","0"
"77","13x9","0"
"78","13x11","0"
"79","13x13","0"
"80","13x15","0"
"81","13x17","1"
"82","13x19","0"
"83","13x21","1"
"84","13x23","3"
"85","13x25","2"
"86","13x27","0"
"87","14x2","0"
"88","14x4","0"
"89","14x6","2"
"90","14x8","0"
"91","14x10","2"
"92","14x12","0"
"93","14x14","0"
"94","14x16","0"
"95","14x18","0"
"96","14x20","0"
"97","14x22","0"
"98","14x24","2"
"99","14x26","3"
"100","15x3","2"
"101","15x5","0"
"102","15x7","0"
"103","15x9","0"
"104","15x11","2"
"105","15x13","2"
"106","15x15","2"
"107","15x17","0"
"108","15x19","5"
"109","15x21","4"
"110","15x23","2"
"111","15x25","1"
"112","15x27","1"
"113","16x2","0"
"114","16x4","1"
"115","16x6","0"
"116","16x8","0"
"117","16x10","0"
"118","16x12","0"
"119","16x14","4"
"120","16x16","2"
"121","16x18","0"
"122","16x20","0"
"123","16x22","0"
"124","16x24","0"
"125","16x26","1"
"126","17x3","0"
"127","17x5","1"
"128","17x7","1"
"129","17x9","0"
"130","17x11","0"
"131","17x13","0"
"132","17x15","0"
"133","17x17","0"
"134","17x19","5"
"135","17x21","0"
"136","17x23","4"
"137","17x25","0"
"138","17x27","0"
"139","18x2","0"
"140","18x4","0"
"141","18x6","0"
"142","18x8","0"
"143","18x10","0"
"144","18x12","2"
"145","18x14","3"
"146","18x16","2"
"147","18x18","3"
"148","18x20","0"
"149","18x22","0"
"150","18x24","4"
"151","18x26","2"
"152","19x3","0"
"153","19x5","0"
"154","19x7","4"
"155","19x9","4"
"156","19x11","0"
"157","19x13","2"
"158","19x15","2"
"159","19x17","3"
"160","19x19","0"
"161","19x21","3"
"162","19x23","3"
"163","19x25","1"
"164","20x2","0"
"165","20x4","0"
"166","20x6","0"
"167","20x8","4"
"168","20x10","0"
"169","20x12","0"
"170","20x14","2"
"171","20x16","2"
"172","20x18","3"
"173","20x20","3"
"174","20x22","1"
"175","20x24","0"
"176","21x3","0"
"177","21x5","2"
"178","21x7","0"
"179","21x9","2"
"180","21x11","2"
"181","21x13","4"
"182","21x15","0"
"183","21x17","0"
"184","21x19","1"
"185","21x21","3"
"186","21x23","3"
"187","22x4","0"
"188","22x6","0"
"189","22x8","0"
"190","22x10","2"
"191","22x12","2"
"192","22x14","3"
"193","22x16","2"
"194","22x18","0"
"195","22x20","0"
"196","22x22","0"
"197","22x24","0"
"198","23x3","0"
"199","23x5","1"
"200","23x7","0"
"201","23x9","0"
"202","23x11","2"
"203","23x13","1"
"204","23x15","2"
"205","23x17","3"
"206","23x19","2"
"207","23x21","2"
"208","23x23","1"
"209","24x4","0"
"210","24x6","2"
"211","24x8","3"
"212","24x10","0"
