,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Arg11,0,0.912774449543163,0.771,0.026,0,Pericentral (PC) hepatocytes(Liver),Arg1
Rgn1,0,0.906005913373484,0.788,0.029,0,Pericentral (PC) hepatocytes(Liver),Rgn
Cyp2e11,0,0.84953736314495,0.771,0.023,0,Pericentral (PC) hepatocytes(Liver),Cyp2e1
Uox1,0,0.809945620216484,0.763,0.026,0,Pericentral (PC) hepatocytes(Liver),Uox
Sult2a81,0,0.734425760596674,0.712,0.022,0,Pericentral (PC) hepatocytes(Liver),Sult2a8
Tdo21,0,0.695976373859576,0.712,0.021,0,Pericentral (PC) hepatocytes(Liver),Tdo2
Sult2a21,0,0.690110404153441,0.636,0.015,0,Pericentral (PC) hepatocytes(Liver),Sult2a2
Cth1,0,0.584665279944717,0.585,0.01,0,Pericentral (PC) hepatocytes(Liver),Cth
Car5a,0,0.434398786934085,0.492,0.004,0,Pericentral (PC) hepatocytes(Liver),Car5a
Akr1c61,2.53443931070814e-306,1.11838184933313,0.847,0.039,3.41490352724815e-302,Pericentral (PC) hepatocytes(Liver),Akr1c6
Cdo11,5.86519016746172e-303,1.14787989079264,0.915,0.049,7.90275723163792e-299,Pericentral (PC) hepatocytes(Liver),Cdo1
Otc1,8.86797497324329e-303,0.692289920138207,0.669,0.02,1.1948709478948e-298,Pericentral (PC) hepatocytes(Liver),Otc
Car31,1.49369587690638e-298,1.72667355019603,0.992,0.064,2.01260582454365e-294,Pericentral (PC) hepatocytes(Liver),Car3
Hmgcs21,7.90600615080021e-295,0.970184288882661,0.831,0.038,1.06525526875882e-290,Pericentral (PC) hepatocytes(Liver),Hmgcs2
Fbp11,9.72088511331969e-292,0.735443984744134,0.695,0.023,1.30979206016869e-287,Pericentral (PC) hepatocytes(Liver),Fbp1
Ndrg21,1.55733917488965e-289,0.774844751770925,0.746,0.029,2.09835880424631e-285,Pericentral (PC) hepatocytes(Liver),Ndrg2
Inmt1,8.48903901615458e-288,0.658758687117992,0.661,0.021,1.14381311703667e-283,Pericentral (PC) hepatocytes(Liver),Inmt
Urah1,2.68070368495975e-286,0.681233596120607,0.669,0.022,3.61198014511476e-282,Pericentral (PC) hepatocytes(Liver),Urah
Ttc361,3.8502032082733e-281,0.837159574867901,0.78,0.034,5.18776380282745e-277,Pericentral (PC) hepatocytes(Liver),Ttc36
Hacl11,4.6063537498795e-280,0.698738311441255,0.669,0.023,6.20660104258763e-276,Pericentral (PC) hepatocytes(Liver),Hacl1
Mat1a1,7.84267366782045e-276,1.151647956145,0.864,0.048,1.05672185000213e-271,Pericentral (PC) hepatocytes(Liver),Mat1a
Sec14l21,1.94539443336486e-275,0.499368609073022,0.542,0.012,2.62122445951581e-271,Pericentral (PC) hepatocytes(Liver),Sec14l2
Aldh1a11,1.58408709217419e-271,0.71905551719121,0.695,0.026,2.1343989479955e-267,Pericentral (PC) hepatocytes(Liver),Aldh1a1
Sult2a11,2.0114240570319e-270,0.737376619621347,0.627,0.02,2.71019277444478e-266,Pericentral (PC) hepatocytes(Liver),Sult2a1
Gsta32,1.38702646510397e-263,1.42438101829222,0.966,0.072,1.86887945908108e-259,Pericentral (PC) hepatocytes(Liver),Gsta3
Acaa1b1,5.88694180597556e-262,0.766554281008932,0.737,0.033,7.93206538937147e-258,Pericentral (PC) hepatocytes(Liver),Acaa1b
Hpd1,1.45649279363699e-259,1.33673256554234,0.958,0.071,1.96247839014648e-255,Pericentral (PC) hepatocytes(Liver),Hpd
Ttpa1,3.57931997333764e-255,0.488248058536829,0.534,0.014,4.82277573207513e-251,Pericentral (PC) hepatocytes(Liver),Ttpa
Bhmt1,7.83957965929636e-253,1.35697597911663,0.89,0.06,1.05630496329359e-248,Pericentral (PC) hepatocytes(Liver),Bhmt
Chchd102,1.26963765457039e-252,1.27857037173768,0.966,0.075,1.71070977576814e-248,Pericentral (PC) hepatocytes(Liver),Chchd10
Pah1,5.39631576782861e-252,0.561669296086477,0.542,0.015,7.27099586557227e-248,Pericentral (PC) hepatocytes(Liver),Pah
Fxyd11,2.36858147558922e-251,0.569090661329258,0.551,0.016,3.19142668020892e-247,Pericentral (PC) hepatocytes(Liver),Fxyd1
Fah1,2.38378987957941e-249,0.668082804417518,0.678,0.028,3.21191848374529e-245,Pericentral (PC) hepatocytes(Liver),Fah
Adk1,2.87378360505159e-248,0.606743476448505,0.678,0.028,3.87213602944651e-244,Pericentral (PC) hepatocytes(Liver),Adk
Pcbd11,3.51961265573981e-243,0.580048451873261,0.619,0.023,4.74232609234383e-239,Pericentral (PC) hepatocytes(Liver),Pcbd1
Ephx21,6.96461419859861e-235,0.51219286859376,0.517,0.015,9.38412117119177e-231,Pericentral (PC) hepatocytes(Liver),Ephx2
Akr1d1,8.59880607502843e-233,0.369866987152614,0.407,0.007,1.15860313054933e-228,Pericentral (PC) hepatocytes(Liver),Akr1d1
Glyat1,5.97523776759454e-227,0.544082018096161,0.542,0.018,8.05103536805689e-223,Pericentral (PC) hepatocytes(Liver),Glyat
Nrn1,4.11792866567591e-225,0.377048826959887,0.373,0.006,5.54849708413172e-221,Pericentral (PC) hepatocytes(Liver),Nrn1
Aldob1,1.46791058134912e-222,1.687847098182,0.983,0.097,1.97786271730981e-218,Pericentral (PC) hepatocytes(Liver),Aldob
Ass11,2.66330011574136e-222,1.29019387856521,0.881,0.07,3.5885305759499e-218,Pericentral (PC) hepatocytes(Liver),Ass1
Cbs1,4.64454399849163e-219,0.365724288477604,0.449,0.011,6.25805858356762e-215,Pericentral (PC) hepatocytes(Liver),Cbs
Cmbl,2.39389328314041e-211,0.432706327014778,0.441,0.011,3.22553180970339e-207,Pericentral (PC) hepatocytes(Liver),Cmbl
Gnmt1,2.46899598317297e-210,1.0290845665747,0.814,0.06,3.32672518772726e-206,Pericentral (PC) hepatocytes(Liver),Gnmt
Sord1,5.77673792794062e-210,0.958022723843385,0.856,0.067,7.78357668410719e-206,Pericentral (PC) hepatocytes(Liver),Sord
Adh11,1.32858777284798e-208,1.57782514541392,0.966,0.101,1.79013916513537e-204,Pericentral (PC) hepatocytes(Liver),Adh1
Agxt1,1.47248412911159e-206,0.508312913937463,0.517,0.018,1.98402511556495e-202,Pericentral (PC) hepatocytes(Liver),Agxt
Dpys1,2.69559658592194e-206,0.389862835899157,0.415,0.01,3.63204683987122e-202,Pericentral (PC) hepatocytes(Liver),Dpys
Hamp21,5.79402169321562e-206,0.691957091965157,0.593,0.027,7.80686482943873e-202,Pericentral (PC) hepatocytes(Liver),Hamp2
Wfdc211,7.13562235764141e-204,1.0188131757354,0.788,0.057,9.61453756468603e-200,Pericentral (PC) hepatocytes(Liver),Wfdc21
Hgd1,2.86711865763523e-202,0.471142224249712,0.483,0.016,3.86315567929771e-198,Pericentral (PC) hepatocytes(Liver),Hgd
Stard102,3.86959481930569e-201,0.675712195193515,0.636,0.033,5.21389205953249e-197,Pericentral (PC) hepatocytes(Liver),Stard10
Apoc41,4.91959370714121e-198,0.686646763965702,0.653,0.036,6.62866056100207e-194,Pericentral (PC) hepatocytes(Liver),Apoc4
Aldh1l11,8.66971859281521e-197,0.519790494130151,0.542,0.023,1.16815788319592e-192,Pericentral (PC) hepatocytes(Liver),Aldh1l1
Phyh1,6.14556977948477e-196,1.0732783982918,0.873,0.079,8.28054072087778e-192,Pericentral (PC) hepatocytes(Liver),Phyh
Selenbp11,9.51614623271864e-195,0.447121115122379,0.5,0.018,1.28220554339651e-190,Pericentral (PC) hepatocytes(Liver),Selenbp1
Maob,2.37353718054965e-193,0.317738406823425,0.331,0.005,3.1981039970726e-189,Pericentral (PC) hepatocytes(Liver),Maob
Crot1,1.52578848790616e-192,0.788773248616783,0.754,0.054,2.05584740860476e-188,Pericentral (PC) hepatocytes(Liver),Crot
Gstm11,5.58692065411837e-192,1.12096190970372,0.915,0.092,7.52781688935909e-188,Pericentral (PC) hepatocytes(Liver),Gstm1
Gstt11,5.97411991313083e-189,0.453338368099477,0.483,0.018,8.04952917095248e-185,Pericentral (PC) hepatocytes(Liver),Gstt1
Bdh1,1.12212303620834e-186,0.321777789896022,0.356,0.007,1.51194857898712e-182,Pericentral (PC) hepatocytes(Liver),Bdh1
Gstz11,2.4433263626188e-184,0.464306927643855,0.517,0.022,3.29213794099257e-180,Pericentral (PC) hepatocytes(Liver),Gstz1
Rbp41,3.19192807253709e-184,1.07699389654947,0.89,0.087,4.30080388493648e-180,Pericentral (PC) hepatocytes(Liver),Rbp4
Baat,2.77096340534712e-175,0.310199499476385,0.331,0.007,3.7335960923647e-171,Pericentral (PC) hepatocytes(Liver),Baat
Pxmp21,3.00150158835e-174,0.378890178085728,0.432,0.015,4.04422324014279e-170,Pericentral (PC) hepatocytes(Liver),Pxmp2
Pck11,7.60582917133047e-173,0.500797811372045,0.483,0.02,1.02480942254507e-168,Pericentral (PC) hepatocytes(Liver),Pck1
Serpina1a1,1.93484554448324e-172,1.36125817662428,0.949,0.118,2.60701088663671e-168,Pericentral (PC) hepatocytes(Liver),Serpina1a
Aldh1a7,1.14380700088772e-169,0.286352265489075,0.305,0.006,1.54116555299611e-165,Pericentral (PC) hepatocytes(Liver),Aldh1a7
Serpina1b1,1.72497542567861e-169,1.45119791418151,0.983,0.14,2.32423188855935e-165,Pericentral (PC) hepatocytes(Liver),Serpina1b
Ahcy1,1.34925033513268e-166,0.427848811725877,0.483,0.021,1.81797990155777e-162,Pericentral (PC) hepatocytes(Liver),Ahcy
Aldh8a1,2.61345523612913e-166,0.308816373391434,0.339,0.008,3.52136958516039e-162,Pericentral (PC) hepatocytes(Liver),Aldh8a1
Ddt1,7.84284476376839e-165,0.695218995514723,0.686,0.052,1.05674490347015e-160,Pericentral (PC) hepatocytes(Liver),Ddt
Pipox1,4.06340946307965e-161,0.304238236346802,0.305,0.006,5.47503791055352e-157,Pericentral (PC) hepatocytes(Liver),Pipox
Tat1,3.82368061981168e-159,0.354717507788225,0.356,0.01,5.15202726713425e-155,Pericentral (PC) hepatocytes(Liver),Tat
Acox11,4.39075490863712e-158,0.623355422668488,0.678,0.053,5.91610316389766e-154,Pericentral (PC) hepatocytes(Liver),Acox1
Cat1,1.90773818810536e-157,0.989083659759243,0.898,0.111,2.57048643465316e-153,Pericentral (PC) hepatocytes(Liver),Cat
Tkfc,1.96263859802067e-157,0.32016544358335,0.339,0.009,2.64445924697305e-153,Pericentral (PC) hepatocytes(Liver),Tkfc
Ang1,4.93769257407316e-156,0.455653810095618,0.449,0.02,6.65304697430617e-152,Pericentral (PC) hepatocytes(Liver),Ang
9030619P08Rik1,2.60308621859732e-155,0.349047644298987,0.347,0.01,3.50739837093803e-151,Pericentral (PC) hepatocytes(Liver),9030619P08Rik
Serpina1c1,2.01974127965987e-153,1.44948071340928,0.966,0.152,2.72139940021371e-149,Pericentral (PC) hepatocytes(Liver),Serpina1c
Fabp11,5.46401336831178e-153,2.02988262844755,1,0.181,7.3622116124633e-149,Pericentral (PC) hepatocytes(Liver),Fabp1
Cideb,8.62348015721676e-152,0.259786473775968,0.297,0.007,1.16192771638339e-147,Pericentral (PC) hepatocytes(Liver),Cideb
Gcdh1,4.07236198873046e-148,0.394197361456828,0.458,0.022,5.48710054361542e-144,Pericentral (PC) hepatocytes(Liver),Gcdh
Asgr11,4.53192268879783e-145,0.299634176648614,0.339,0.01,6.1063126308862e-141,Pericentral (PC) hepatocytes(Liver),Asgr1
Sephs21,1.50166314920377e-142,0.526793478799089,0.568,0.039,2.02334092723715e-138,Pericentral (PC) hepatocytes(Liver),Sephs2
Rida1,9.01817653337961e-142,0.548298951896675,0.525,0.033,1.21510910610757e-137,Pericentral (PC) hepatocytes(Liver),Rida
Upb1,2.08001105401794e-141,0.353939606590812,0.398,0.017,2.80260689418377e-137,Pericentral (PC) hepatocytes(Liver),Upb1
Agmat,2.40577256193582e-141,0.254888234626194,0.254,0.005,3.24153794995233e-137,Pericentral (PC) hepatocytes(Liver),Agmat
Acaa21,1.42342617981873e-139,0.653941464592487,0.703,0.067,1.91792443468776e-135,Pericentral (PC) hepatocytes(Liver),Acaa2
Nipsnap11,2.29405964517043e-136,0.324404985806927,0.331,0.011,3.09101596590263e-132,Pericentral (PC) hepatocytes(Liver),Nipsnap1
Gamt1,3.88123946659419e-136,0.429837139214914,0.458,0.025,5.22958205728901e-132,Pericentral (PC) hepatocytes(Liver),Gamt
Clpx1,1.04170251324883e-135,0.40335298915653,0.492,0.029,1.40358996635148e-131,Pericentral (PC) hepatocytes(Liver),Clpx
Haao1,2.15282556574512e-135,0.427349294439704,0.466,0.026,2.90071716728498e-131,Pericentral (PC) hepatocytes(Liver),Haao
Slc25a471,1.45001359169694e-134,0.352192543747331,0.347,0.013,1.95374831345245e-130,Pericentral (PC) hepatocytes(Liver),Slc25a47
0610005C13Rik,3.71577045315517e-132,0.252579831015713,0.28,0.007,5.00662910858128e-128,Pericentral (PC) hepatocytes(Liver),0610005C13Rik
Gc1,1.478900370563e-130,0.744035144110037,0.771,0.09,1.99267035929658e-126,Pericentral (PC) hepatocytes(Liver),Gc
Grhpr,3.61764804195351e-130,0.325406043023472,0.373,0.016,4.87441897172816e-126,Pericentral (PC) hepatocytes(Liver),Grhpr
Serpina1d1,7.32171044590649e-130,0.869185859158161,0.797,0.101,9.8652726548144e-126,Pericentral (PC) hepatocytes(Liver),Serpina1d
Acat31,7.54339466341347e-130,0.277465843507358,0.288,0.008,1.01639699694833e-125,Pericentral (PC) hepatocytes(Liver),Acat3
