	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
21x53	5.074129e-10	5.0818e-10	5.0726384e-10	5.0706656e-10	5.0790483e-10	5.070869e-10	5.0792703e-10	5.0716326e-10	5.0702686e-10	0.020980239	5.0783405e-10	5.068509e-10	5.081839e-10	5.076307e-10	5.079184e-10	0.3335652	0.6454546	5.083923e-10	5.077227e-10	5.0753585e-10
21x57	3.9649536e-10	3.9714176e-10	3.965075e-10	3.9625422e-10	3.9710768e-10	0.026387382	3.972183e-10	3.9686388e-10	3.9686007e-10	3.9739936e-10	3.9681464e-10	3.9716827e-10	3.9671477e-10	3.964508e-10	3.967594e-10	0.4343485	0.513103	0.026161114	3.9725465e-10	3.9699485e-10
21x59	3.4617179e-10	3.46222e-10	3.4567563e-10	3.461566e-10	3.462068e-10	3.458464e-10	3.4613812e-10	3.4617578e-10	3.4622e-10	3.459038e-10	3.462801e-10	3.4584707e-10	3.458966e-10	3.459909e-10	0.009225346	0.41813946	0.5726352	3.4634154e-10	3.4608136e-10	3.4660058e-10
22x26	3.2927383e-10	3.2892605e-10	3.2925246e-10	3.2911995e-10	3.2893044e-10	3.290999e-10	3.2816655e-10	3.2851102e-10	3.2844708e-10	0.020495249	3.285793e-10	3.2836817e-10	3.2872224e-10	3.2888844e-10	3.2882505e-10	0.43316242	0.5463424	3.2872224e-10	3.2860187e-10	3.2885517e-10
22x28	1.2810993e-10	1.2826835e-10	1.2828597e-10	1.2812508e-10	1.2832489e-10	1.2808427e-10	1.2821211e-10	1.2808989e-10	1.2827693e-10	1.2832857e-10	1.2839368e-10	1.2824732e-10	1.2833958e-10	1.2835695e-10	0.00076592073	0.43554845	0.56368566	1.2825711e-10	1.2827765e-10	1.2832366e-10
22x30	2.522333e-10	2.521491e-10	2.527076e-10	2.520991e-10	2.5203994e-10	2.5239208e-10	2.5232327e-10	2.5215968e-10	2.521515e-10	2.5268398e-10	2.5229968e-10	2.5223376e-10	2.5263724e-10	2.5256544e-10	2.5252403e-10	0.40284845	0.59715164	2.5268543e-10	2.5236657e-10	2.5249947e-10
22x32	2.865965e-10	2.861426e-10	2.8637298e-10	2.8625122e-10	2.859287e-10	2.8588235e-10	2.8585295e-10	2.8651834e-10	2.8631564e-10	2.8629435e-10	2.8629765e-10	2.8632166e-10	2.8662056e-10	2.8623046e-10	2.8667685e-10	0.4155214	0.5776106	2.8628125e-10	2.8627686e-10	0.00686793
22x34	1.3516166e-10	1.3523102e-10	1.3529063e-10	1.3523102e-10	0.0075807455	1.3514645e-10	1.3490847e-10	1.3524548e-10	1.349638e-10	1.3504801e-10	1.3515393e-10	1.3519053e-10	1.3500527e-10	1.3525862e-10	1.3505833e-10	0.41330385	0.5791154	1.3491722e-10	1.3513742e-10	1.3521761e-10
22x36	1.6460483e-10	1.6474114e-10	1.6477696e-10	1.6456904e-10	1.6427455e-10	1.6450784e-10	1.6440181e-10	1.6471884e-10	1.6466353e-10	1.6451882e-10	1.6469462e-10	1.6461361e-10	1.6461392e-10	1.6469809e-10	1.6459539e-10	0.2731278	0.7268722	1.6456872e-10	1.6463089e-10	1.6474616e-10
22x38	1.9993798e-10	2.0015166e-10	1.9993494e-10	2.0003717e-10	1.99885e-10	2.000257e-10	1.994379e-10	1.9975312e-10	2.0005662e-10	2.0008524e-10	2.0005435e-10	1.9977255e-10	1.9968226e-10	1.9986934e-10	1.9981637e-10	0.3418058	0.65819424	2.0005893e-10	1.9967654e-10	2.0004061e-10
22x52	2.988175e-10	2.9895375e-10	2.9945996e-10	2.9844097e-10	2.98429e-10	2.9862435e-10	2.9879127e-10	2.9855543e-10	0.0016542525	2.9811328e-10	2.987343e-10	2.9810757e-10	2.9872232e-10	2.9870806e-10	2.9845978e-10	0.53270763	0.46563816	2.9841424e-10	2.9824865e-10	2.9840172e-10
