	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
18x30	1.3766961e-10	1.377647e-10	1.3786723e-10	1.3749432e-10	0.006205325	1.3750272e-10	1.375224e-10	1.378583e-10	1.3769588e-10	1.3776708e-10	1.3760215e-10	1.3770929e-10	0.013705882	1.3768119e-10	1.3770061e-10	0.18154721	0.7985416	1.3773187e-10	1.378483e-10	1.3777839e-10
18x32	1.4066687e-10	1.4068081e-10	1.4061376e-10	1.4069611e-10	1.4068108e-10	1.4052366e-10	1.406623e-10	1.4073502e-10	1.4082688e-10	1.4077557e-10	1.4079007e-10	0.010331003	1.4092279e-10	1.407039e-10	1.4076618e-10	0.15693389	0.8327351	1.4065184e-10	1.408884e-10	1.4078066e-10
18x34	2.7272112e-10	2.7238534e-10	2.7288455e-10	2.7244665e-10	2.7268837e-10	2.7264158e-10	2.7291214e-10	2.7304853e-10	2.7264105e-10	0.00805661	2.730074e-10	2.7297303e-10	2.7290742e-10	2.7304592e-10	2.7271801e-10	0.17591225	0.8160311	2.7274039e-10	2.7313188e-10	2.724929e-10
19x29	1.4419509e-10	1.4406477e-10	1.4412331e-10	1.4424763e-10	1.4448939e-10	1.4438221e-10	1.4399856e-10	1.4434368e-10	1.4438939e-10	1.4427734e-10	1.4434615e-10	1.4431781e-10	1.4460519e-10	1.4416511e-10	1.4437616e-10	0.1362295	0.8637705	1.442168e-10	1.4428064e-10	1.4429799e-10
19x31	6.35587e-11	6.351023e-11	6.3618374e-11	6.34814e-11	6.353883e-11	6.3583444e-11	0.0007377754	6.35946e-11	6.348395e-11	6.356876e-11	6.356731e-11	6.3501024e-11	6.356222e-11	6.359121e-11	0.00092370424	0.25709173	0.7412468	6.35946e-11	6.358126e-11	6.362469e-11
19x33	7.480745e-11	7.483643e-11	7.481987e-11	7.4911397e-11	7.4873836e-11	7.493841e-11	7.4798466e-11	7.485184e-11	7.487012e-11	0.0041404595	7.479732e-11	7.4901106e-11	7.484699e-11	7.487283e-11	7.4742705e-11	0.13939796	0.85646164	7.470892e-11	7.488783e-11	7.478591e-11
19x35	1.0763094e-10	1.0781197e-10	1.07612266e-10	1.0788972e-10	1.075505e-10	1.078605e-10	0.00018704205	1.0782862e-10	1.07790575e-10	1.0783787e-10	1.0783807e-10	1.07609185e-10	1.0769254e-10	1.0773734e-10	0.009560863	0.27078766	0.7194644	1.07737756e-10	1.07787286e-10	1.0781217e-10
20x28	2.9129227e-10	2.9168978e-10	2.913045e-10	2.9137504e-10	2.908165e-10	2.9131447e-10	2.9065791e-10	2.9136282e-10	2.9100738e-10	2.9174096e-10	2.9144456e-10	2.9126893e-10	2.9174319e-10	2.9092634e-10	0.012316101	0.20419124	0.7834927	2.909663e-10	2.91484e-10	2.9150346e-10
20x30	6.537928e-11	6.5394495e-11	6.5399235e-11	6.527798e-11	6.523739e-11	6.5374296e-11	6.519983e-11	6.526354e-11	6.539624e-11	6.5414583e-11	6.538526e-11	6.524934e-11	0.0040981676	6.5258174e-11	6.53678e-11	0.23351176	0.7623901	6.540647e-11	6.527474e-11	6.527848e-11
20x32	6.4355715e-11	6.440397e-11	6.4343926e-11	6.438628e-11	0.013017896	0.0016289296	6.446124e-11	6.4390944e-11	6.45268e-11	6.448214e-11	6.4393525e-11	6.438591e-11	0.0035323135	6.4402615e-11	6.448583e-11	0.22700122	0.75326246	6.437597e-11	6.4454726e-11	0.0015571889
20x34	0.0023599397	7.997509e-11	7.9986066e-11	8.0088505e-11	7.9988516e-11	7.997555e-11	8.004422e-11	8.009324e-11	0.0017178018	8.001873e-11	0.0016639812	0.008476979	7.992644e-11	8.0044985e-11	7.9909676e-11	0.25512514	0.7306561	8.00575e-11	7.9996135e-11	8.001918e-11
20x36	2.3566374e-10	2.3571275e-10	2.3616095e-10	2.3583957e-10	2.3605737e-10	2.3595295e-10	2.357685e-10	2.3628804e-10	2.3580582e-10	0.0022634312	2.358706e-10	0.0147484625	2.3664615e-10	2.3608485e-10	2.358823e-10	0.2189286	0.76405954	2.3589986e-10	2.35813e-10	2.358796e-10
20x38	1.6116726e-10	1.6096513e-10	1.6093749e-10	1.6107905e-10	1.6087826e-10	1.6096205e-10	1.6095868e-10	1.6105879e-10	1.6107138e-10	0.0057342	1.6115682e-10	1.6083991e-10	1.6166171e-10	1.6098199e-10	1.6083836e-10	0.2137739	0.7804919	1.6095283e-10	1.6083346e-10	1.6083805e-10
