	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x46	2.5624453e-10	2.5669997e-10	2.568655e-10	2.56769e-10	0.009443981	2.5644062e-10	2.5632127e-10	2.561092e-10	2.5638092e-10	2.5648414e-10	2.563829e-10	2.561497e-10	2.563237e-10	2.560696e-10	0.0032346945	0.5024447	0.48487666	2.5663974e-10	2.5643473e-10	2.562548e-10
10x48	1.4752628e-10	1.476569e-10	1.476445e-10	1.4766675e-10	1.4770844e-10	1.4746213e-10	1.4749223e-10	1.4774337e-10	1.4771577e-10	0.0034521625	1.4776451e-10	0.010478303	1.479086e-10	1.4769662e-10	1.4768535e-10	0.5190613	0.46700826	1.4761832e-10	1.4771183e-10	1.4768703e-10
10x50	2.6501282e-10	2.6488295e-10	2.647314e-10	2.6460723e-10	2.654742e-10	2.6526517e-10	2.6523583e-10	2.6509672e-10	2.6461075e-10	2.648496e-10	2.6528893e-10	2.6503957e-10	2.6522418e-10	2.646471e-10	2.6498348e-10	0.38393438	0.6160656	2.6471728e-10	2.6477784e-10	2.6496377e-10
10x52	4.7598675e-10	4.760684e-10	0.0070200753	4.764536e-10	4.764218e-10	4.7597043e-10	4.753335e-10	4.7700194e-10	4.7630916e-10	4.7598586e-10	4.7567816e-10	4.767409e-10	4.776957e-10	4.767363e-10	4.7698007e-10	0.419237	0.5737429	4.769446e-10	4.756573e-10	4.765545e-10
10x54	1.2050902e-10	1.2037026e-10	1.2049453e-10	1.2058098e-10	1.2058098e-10	1.2047133e-10	1.2057913e-10	0.0041286387	1.2057454e-10	0.005294335	1.2039414e-10	1.2058672e-10	1.2061502e-10	1.2032136e-10	1.205789e-10	0.3199879	0.67058915	1.2058857e-10	1.2055246e-10	1.2058649e-10
10x56	1.2415362e-10	1.242434e-10	1.2438828e-10	1.2433846e-10	0.0035282208	1.2400357e-10	1.2427302e-10	1.2432376e-10	1.2437736e-10	1.242614e-10	1.2414628e-10	1.2418085e-10	1.2410271e-10	1.2412141e-10	1.2432945e-10	0.40574312	0.59072864	1.2415197e-10	1.2408875e-10	1.2418938e-10
11x47	0.006775552	1.6214277e-10	1.6207381e-10	1.6212019e-10	1.6222196e-10	1.6228137e-10	1.6222444e-10	1.6206887e-10	1.6190511e-10	1.622786e-10	1.621069e-10	0.01140821	1.6213317e-10	1.6227301e-10	1.6212112e-10	0.6279281	0.35388815	1.6202528e-10	1.6232594e-10	1.6206422e-10
11x49	3.2490488e-10	3.2494454e-10	3.242969e-10	3.2448128e-10	3.2451655e-10	3.2531847e-10	3.2407244e-10	3.2488504e-10	3.2440578e-10	3.249241e-10	3.250927e-10	3.246379e-10	3.2450417e-10	3.2466702e-10	3.2489372e-10	0.5103186	0.47603223	3.2444353e-10	0.0136491535	3.2445155e-10
11x51	2.0303682e-10	2.0273924e-10	2.0276475e-10	2.0305231e-10	2.0285218e-10	2.0262327e-10	2.0284482e-10	2.0269515e-10	2.0311816e-10	0.0051966296	0.008012575	2.0309415e-10	2.0314334e-10	2.0305463e-10	2.0281313e-10	0.53535116	0.45143962	2.0280422e-10	2.0279069e-10	2.0297564e-10
11x53	1.1059068e-10	1.1062866e-10	1.10472194e-10	1.10337635e-10	1.1045176e-10	1.10412575e-10	0.00057956256	1.1060355e-10	1.10439956e-10	1.10437014e-10	1.103711e-10	1.1057085e-10	1.1052679e-10	1.1038962e-10	1.1058604e-10	0.49149555	0.5079249	1.1042269e-10	1.1045533e-10	1.1036941e-10
11x55	2.0382944e-10	2.0366663e-10	2.0404844e-10	2.037859e-10	2.0406557e-10	2.0399359e-10	2.0382944e-10	2.03866e-10	2.0393719e-10	2.0386444e-10	2.0413253e-10	2.0365654e-10	2.0389826e-10	2.0404689e-10	2.0397141e-10	0.4930593	0.5069407	2.0400293e-10	2.0374472e-10	2.0410527e-10
11x57	1.5201636e-10	1.5214716e-10	1.5225167e-10	1.518584e-10	1.519778e-10	1.518112e-10	1.519862e-10	1.5198186e-10	1.521579e-10	1.5236468e-10	0.005082287	1.5217475e-10	1.5193893e-10	1.5205956e-10	1.5216835e-10	0.44125172	0.553666	1.5217938e-10	1.5207724e-10	1.5194185e-10
12x44	3.752884e-10	3.7492284e-10	3.7545386e-10	3.750015e-10	3.753529e-10	3.7529846e-10	3.754667e-10	3.7529488e-10	3.7550682e-10	3.7492784e-10	3.7534642e-10	3.754087e-10	3.7547462e-10	3.748163e-10	3.748406e-10	0.4866581	0.5133419	3.752219e-10	3.7569953e-10	3.7481557e-10
12x46	2.6285882e-10	2.6249258e-10	2.6294206e-10	2.632793e-10	2.6306393e-10	2.6255667e-10	2.6309807e-10	2.6348426e-10	2.6329083e-10	2.6282324e-10	2.6314625e-10	2.6284028e-10	2.6320446e-10	2.6320648e-10	2.6350183e-10	0.4267245	0.5732755	2.6295358e-10	2.6286684e-10	2.6354052e-10
12x48	1.3452037e-10	1.3439522e-10	1.3436546e-10	1.3425379e-10	0.0044800676	1.343442e-10	1.3414142e-10	0.0043537878	1.3435292e-10	1.3422127e-10	1.3426224e-10	1.3425659e-10	1.3431832e-10	1.3448906e-10	1.3464717e-10	0.6204246	0.37074155	1.3447443e-10	1.3438445e-10	1.3430423e-10
12x50	1.4773717e-10	1.4791479e-10	1.4807852e-10	1.4802515e-10	0.0068740975	1.4775717e-10	1.4772533e-10	1.4794556e-10	0.0028876525	1.4793201e-10	1.4807909e-10	1.4801724e-10	1.4853932e-10	1.4798986e-10	1.4816356e-10	0.355172	0.6350662	1.4795175e-10	1.4774561e-10	1.480627e-10
12x52	1.6763192e-10	1.6787605e-10	1.677045e-10	1.6784084e-10	1.674964e-10	1.6749353e-10	1.6753987e-10	0.004010981	1.6742581e-10	1.6748457e-10	1.6767925e-10	1.677781e-10	1.6782675e-10	1.6783636e-10	1.6782034e-10	0.54481626	0.45117268	1.6771923e-10	1.6773842e-10	1.6784947e-10
12x54	1.5093457e-10	1.5082147e-10	1.5079098e-10	1.5066622e-10	1.5094925e-10	1.5094494e-10	1.5062684e-10	1.5100542e-10	1.5074411e-10	1.5085658e-10	1.5084939e-10	1.5066737e-10	1.5091645e-10	1.5087442e-10	1.5087269e-10	0.37625822	0.6237418	1.5071594e-10	1.5079617e-10	1.5083472e-10
12x56	1.1926599e-10	1.1923733e-10	1.191064e-10	1.1922437e-10	1.1916412e-10	1.1898788e-10	1.18962e-10	1.1923597e-10	0.0023445843	1.1914275e-10	1.1918026e-10	1.1910505e-10	1.1918572e-10	1.1909505e-10	0.0036593839	0.557637	0.43635908	1.1914389e-10	1.1924665e-10	1.1906733e-10
12x58	4.5161175e-10	4.5275367e-10	4.5260945e-10	4.5229706e-10	4.5225565e-10	4.524084e-10	4.514843e-10	4.5253004e-10	4.5246876e-10	0.010920418	4.5278128e-10	4.5243598e-10	4.526699e-10	4.520875e-10	4.5237644e-10	0.508474	0.4806056	4.5266474e-10	4.5232382e-10	4.5259482e-10
13x45	1.5230187e-10	1.5239805e-10	1.5248762e-10	1.5222723e-10	1.5247452e-10	1.524062e-10	1.5223972e-10	0.004716741	1.5257809e-10	1.5236667e-10	1.5229577e-10	1.5258567e-10	1.522098e-10	1.5234168e-10	1.5244311e-10	0.3664985	0.6287848	1.5251787e-10	1.5222955e-10	1.5223246e-10
13x47	2.123084e-10	2.1204655e-10	2.1240601e-10	2.1232296e-10	2.1224969e-10	2.1209062e-10	2.1177615e-10	2.1214809e-10	2.1218574e-10	2.1189575e-10	2.1203564e-10	0.009183466	2.1184403e-10	2.1209226e-10	2.1190423e-10	0.46296453	0.527852	2.1207526e-10	2.1233026e-10	2.1217278e-10
13x49	1.0848034e-10	1.086916e-10	1.08537464e-10	1.0854264e-10	1.0842159e-10	1.08341384e-10	1.08560654e-10	1.08425526e-10	1.08644545e-10	1.08524426e-10	1.08670656e-10	0.0075084763	1.08595445e-10	1.0847868e-10	1.0862673e-10	0.54577106	0.44325116	1.08587785e-10	1.0840815e-10	0.003469225
13x51	9.082991e-11	9.084845e-11	9.090773e-11	9.079786e-11	9.073675e-11	9.080219e-11	9.066634e-11	9.089265e-11	9.0696256e-11	9.0904256e-11	9.0784526e-11	0.002591532	9.076894e-11	9.074592e-11	9.090877e-11	0.33918875	0.6476425	0.0037278128	0.0068493322	9.089906e-11
