	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
10x42	1.2331823e-09	1.2337376e-09	1.2333682e-09	1.2308443e-09	1.2306377e-09	1.2311683e-09	1.2333564e-09	1.2306588e-09	1.2326227e-09	1.2316262e-09	1.2325452e-09	1.2317602e-09	1.2323829e-09	1.2312317e-09	1.2348323e-09	0.46815413	0.5318458	1.2324511e-09	1.2342578e-09	1.2338766e-09
10x44	8.328414e-10	8.346209e-10	8.3343255e-10	8.3397317e-10	8.343311e-10	8.3463353e-10	8.34815e-10	8.32816e-10	8.3301616e-10	8.341036e-10	0.038356636	8.3308915e-10	8.3314483e-10	8.346288e-10	8.33415e-10	0.50528973	0.45635363	8.3430407e-10	8.334166e-10	8.349122e-10
10x46	1.0870506e-09	1.0861532e-09	1.0885715e-09	1.0877163e-09	1.0870899e-09	1.0875773e-09	1.0873906e-09	1.0863686e-09	0.012227101	1.0882351e-09	1.0872807e-09	1.0862214e-09	1.0882413e-09	1.0879694e-09	1.0879964e-09	0.32251325	0.6652596	1.086441e-09	1.0866359e-09	1.0882704e-09
10x48	2.2431498e-10	2.2452301e-10	2.2455428e-10	2.2426709e-10	2.245877e-10	2.247934e-10	2.2428975e-10	2.2462539e-10	2.2479597e-10	2.244113e-10	2.2451146e-10	2.247381e-10	2.245744e-10	2.2487703e-10	0.0042146947	0.3672732	0.6285121	2.24562e-10	2.2472653e-10	2.2462152e-10
10x50	3.4685835e-10	3.4730188e-10	3.469126e-10	0.008424566	3.4712438e-10	3.4671016e-10	3.4712905e-10	3.473688e-10	3.4743639e-10	0.014477448	3.4738337e-10	3.4740327e-10	3.4671083e-10	3.4735226e-10	3.4691658e-10	0.31097504	0.6661229	3.4734163e-10	3.475517e-10	3.4681602e-10
10x52	1.1021057e-09	1.10321e-09	1.1045154e-09	1.1045238e-09	1.1020532e-09	1.1041341e-09	1.104233e-09	1.1046144e-09	1.1020553e-09	1.1045743e-09	1.1035299e-09	1.102764e-09	1.1043236e-09	1.1033742e-09	1.103675e-09	0.30070347	0.69929653	1.1043152e-09	1.1046734e-09	1.1031237e-09
11x41	2.4656038e-10	2.463667e-10	2.4664928e-10	2.4646166e-10	2.4656133e-10	2.462953e-10	2.4644378e-10	2.4659425e-10	2.4613564e-10	2.4636485e-10	2.4676552e-10	0.013923226	2.4636904e-10	2.46184e-10	2.4654254e-10	0.39635026	0.5897265	2.460943e-10	2.4677257e-10	2.4620042e-10
11x43	2.6787206e-10	2.6791552e-10	2.6835842e-10	2.6789712e-10	2.6829802e-10	2.6781233e-10	2.6753302e-10	2.679252e-10	2.679007e-10	2.6777452e-10	2.6776226e-10	2.6793137e-10	2.6751415e-10	2.675509e-10	2.681829e-10	0.4881353	0.51186466	2.680346e-10	2.681333e-10	2.6737235e-10
11x45	2.454255e-10	2.450457e-10	2.4507563e-10	2.4542737e-10	2.4529262e-10	2.4559596e-10	2.4494431e-10	2.4568733e-10	2.4510038e-10	2.4552993e-10	2.4559363e-10	2.4537403e-10	2.457131e-10	2.4547844e-10	2.4547608e-10	0.48702988	0.51297015	2.452711e-10	2.4561472e-10	2.4511068e-10
11x47	2.824356e-10	2.8216263e-10	2.823058e-10	2.8208352e-10	2.8230152e-10	2.8192915e-10	2.8218844e-10	2.8207275e-10	2.8206146e-10	2.8274338e-10	2.824313e-10	2.820308e-10	2.8264308e-10	2.8251212e-10	2.8239414e-10	0.36180118	0.6381988	2.8228642e-10	2.813962e-10	2.8195174e-10
