	x	y	new_x	new_y	pixel_x	pixel_y	cluster
22x38	22	38	21.97	38.01	12374.7	18499.7	0
23x37	23	37	22.99	37.05	12742.1	18117.3	2
23x39	23	39	22.96	39.05	12729.4	18916.6	0
23x41	23	41	22.96	41.07	12729.8	19725.8	0
24x34	24	34	23.99	34.07	13100.1	16921.4	3
24x36	24	36	23.97	36.04	13095.1	17712.8	2
24x38	24	38	23.94	38.01	13085.3	18499.0	2
24x40	24	40	23.92	40.06	13077.1	19322.6	0
24x42	24	42	23.99	42.06	13103.4	20125.7	3
25x21	25	21	25.02	21.07	13472.7	11710.4	3
25x23	25	23	25.0	23.07	13465.4	12511.2	2
25x25	25	25	25.0	25.04	13464.7	13301.0	3
25x27	25	27	25.01	27.07	13471.1	14116.4	0
25x29	25	29	25.05	29.03	13483.9	14899.3	2
25x31	25	31	25.01	31.03	13469.8	15701.2	1
25x33	25	33	24.96	33.06	13453.1	16516.7	1
25x35	25	35	24.98	35.05	13457.5	17314.5	0
25x37	25	37	24.99	37.06	13463.0	18119.2	2
25x39	25	39	24.92	39.05	13438.0	18917.5	0
25x41	25	41	24.98	41.06	13459.8	19722.1	0
25x43	25	43	24.96	43.06	13451.0	20525.8	1
26x20	26	20	26.02	20.02	13834.0	11289.6	1
26x22	26	22	25.97	21.98	13815.6	12075.1	0
26x24	26	24	25.99	24.01	13823.9	12889.9	2
26x26	26	26	26.02	26.01	13832.1	13691.8	0
26x28	26	28	26.01	28.01	13831.4	14492.9	1
26x30	26	30	25.98	30.01	13817.7	15292.2	1
26x32	26	32	25.98	31.99	13818.1	16088.2	1
26x34	26	34	25.99	34.01	13821.9	16897.6	1
26x36	26	36	26.0	36.01	13825.4	17698.8	4
26x38	26	38	25.98	38.02	13820.0	18504.6	3
26x40	26	40	25.97	40.0	13814.9	19299.4	0
26x42	26	42	25.99	41.99	13824.0	20097.6	0
26x44	26	44	26.02	44.02	13832.7	20908.3	3
26x46	26	46	26.0	45.99	13825.2	21700.9	0
26x48	26	48	25.97	47.98	13816.7	22498.3	0
26x50	26	50	25.99	49.99	13823.0	23305.2	0
27x17	27	17	27.0	17.04	14187.0	10093.5	2
27x19	27	19	27.03	19.02	14198.0	10889.1	3
27x21	27	21	27.01	21.01	14191.0	11686.2	1
27x23	27	23	27.0	23.01	14186.4	12486.2	2
27x25	27	25	27.0	25.01	14189.0	13290.2	2
27x27	27	27	27.02	27.02	14194.6	14093.1	3
27x29	27	29	27.02	29.01	14196.3	14892.4	1
27x31	27	31	26.99	30.99	14182.2	15688.5	1
27x33	27	33	27.02	33.02	14196.4	16499.6	1
27x35	27	35	27.0	34.99	14188.2	17290.2	0
27x37	27	37	27.02	37.0	14195.5	18094.0	3
27x39	27	39	26.95	39.01	14167.9	18903.3	3
27x41	27	41	26.99	41.0	14184.2	19699.6	3
27x43	27	43	27.0	43.01	14188.5	20506.1	5
27x45	27	45	27.03	45.02	14197.0	21309.7	0
27x47	27	47	26.97	47.0	14176.8	22104.9	0
27x49	27	49	27.06	49.1	14208.8	22948.4	3
27x51	27	51	27.0	51.0	14189.1	23708.9	0
28x16	28	16	28.0	15.99	14548.1	9674.2	0
28x18	28	18	28.03	18.02	14558.0	10487.3	2
28x20	28	20	28.02	20.01	14554.4	11285.8	1
28x22	28	22	27.98	22.0	14541.6	12081.1	0
28x24	28	24	27.99	24.01	14546.0	12887.4	2
28x26	28	26	28.06	26.0	14569.3	13685.2	3
28x28	28	28	28.01	27.99	14553.2	14484.8	0
28x30	28	30	27.99	29.94	14545.0	15267.0	1
28x32	28	32	27.98	32.0	14542.0	16093.1	0
28x34	28	34	27.98	34.01	14540.0	16896.2	1
28x36	28	36	27.98	36.01	14540.2	17699.0	3
28x38	28	38	27.96	37.99	14533.3	18494.2	0
28x40	28	40	27.97	40.0	14536.5	19298.0	0
28x42	28	42	28.0	42.0	14547.4	20100.9	0
28x44	28	44	28.02	44.03	14556.6	20914.6	0
28x46	28	46	27.99	45.99	14543.8	21701.1	0
28x48	28	48	27.97	47.98	14537.5	22499.6	4
28x50	28	50	28.0	50.0	14548.6	23307.1	0
28x52	28	52	28.0	52.0	14549.2	24108.0	0
29x15	29	15	28.99	15.0	14905.3	9277.3	1
29x17	29	17	29.0	17.0	14907.5	10079.8	2
29x19	29	19	29.02	19.01	14915.1	10883.6	3
29x21	29	21	29.01	20.98	14914.1	11673.6	2
29x23	29	23	28.99	23.0	14904.9	12482.9	3
29x25	29	25	29.02	25.01	14915.1	13287.3	0
29x27	29	27	29.01	26.99	14912.7	14082.7	0
29x29	29	29	29.03	29.01	14918.1	14891.0	0
29x31	29	31	28.97	30.96	14899.0	15674.9	1
29x33	29	33	28.99	33.01	14905.1	16495.3	1
29x35	29	35	28.97	34.99	14898.5	17288.2	1
29x37	29	37	29.02	36.99	14915.2	18090.4	0
29x39	29	39	28.95	38.99	14892.5	18895.5	1
29x41	29	41	28.99	40.99	14904.5	19693.6	3
29x43	29	43	29.0	43.01	14908.0	20506.0	0
29x45	29	45	29.02	45.0	14914.5	21304.6	0
29x47	29	47	28.95	46.95	14889.4	22086.9	0
29x49	29	49	29.0	48.97	14907.1	22893.1	1
29x51	29	51	28.99	50.99	14906.7	23706.6	0
29x53	29	53	28.99	52.99	14903.7	24506.4	0
30x12	30	12	29.99	12.03	15266.8	8085.5	4
30x14	30	14	30.04	14.09	15283.4	8911.4	0
30x16	30	16	30.0	16.03	15268.7	9690.0	1
30x18	30	18	29.92	18.0	15240.4	10480.6	0
30x20	30	20	29.97	20.02	15258.4	11288.5	0
30x22	30	22	29.87	22.03	15223.1	12096.2	1
30x24	30	24	30.0	24.07	15269.4	12911.8	0
30x26	30	26	29.99	26.06	15265.8	13711.2	3
30x28	30	28	29.98	28.01	15260.7	14491.2	3
30x30	30	30	29.91	29.97	15238.6	15275.6	0
30x32	30	32	29.96	31.97	15255.4	16080.0	1
30x34	30	34	29.95	33.96	15253.0	16877.9	1
30x36	30	36	29.93	36.0	15243.3	17694.5	1
30x38	30	38	29.87	38.02	15223.8	18504.8	1
30x40	30	40	29.88	39.98	15226.8	19290.9	1
30x42	30	42	29.94	41.99	15248.3	20098.1	1
30x44	30	44	29.92	44.0	15242.0	20902.9	5
30x46	30	46	29.89	46.02	15230.9	21712.7	4
30x48	30	48	29.92	47.99	15239.9	22502.8	0
30x50	30	50	30.01	50.01	15272.4	23312.1	0
30x52	30	52	30.03	52.02	15278.6	24117.4	0
31x13	31	13	30.94	13.04	15608.6	8488.6	0
31x15	31	15	31.0	15.04	15630.9	9292.5	1
31x17	31	17	30.97	17.03	15618.6	10090.1	1
31x19	31	19	30.94	19.05	15608.9	10900.7	3
31x21	31	21	30.97	21.0	15620.2	11683.5	0
31x23	31	23	30.98	23.05	15622.0	12503.3	1
31x25	31	25	30.98	25.05	15621.8	13306.3	0
31x27	31	27	30.92	26.99	15601.8	14082.8	2
31x29	31	29	31.01	29.02	15635.5	14895.2	2
31x31	31	31	30.93	30.99	15604.0	15687.0	4
31x33	31	33	30.93	32.96	15606.0	16475.1	1
31x35	31	35	30.93	35.0	15605.9	17292.2	5
31x37	31	37	30.96	36.99	15614.8	18092.1	1
31x39	31	39	30.88	38.97	15587.5	18887.3	1
31x41	31	41	30.89	40.98	15589.7	19690.9	0
31x43	31	43	30.94	42.96	15609.4	20487.3	0
31x45	31	45	30.92	45.0	15602.0	21304.5	0
31x47	31	47	30.86	46.98	15580.6	22096.3	0
31x49	31	49	30.91	49.0	15598.6	22905.9	1
31x51	31	51	31.02	51.02	15637.1	23716.5	5
31x53	31	53	31.04	53.02	15645.1	24520.1	5
31x55	31	55	30.91	55.02	15598.4	25319.0	0
32x12	32	12	31.99	12.1	15987.4	8114.2	3
32x14	32	14	32.0	14.13	15991.5	8928.7	0
32x16	32	16	31.98	16.06	15984.3	9701.1	0
32x18	32	18	31.96	18.08	15976.4	10511.8	1
32x20	32	20	31.96	20.06	15975.1	11302.7	0
32x22	32	22	31.95	22.07	15971.5	12112.3	1
32x24	32	24	31.98	24.02	15983.9	12892.0	0
32x26	32	26	31.95	26.02	15974.5	13695.5	3
32x28	32	28	31.99	28.02	15985.8	14497.5	0
32x30	32	30	31.88	30.01	15947.0	15293.3	4
32x32	32	32	31.92	32.0	15961.9	16091.0	3
32x34	32	34	31.95	33.99	15973.0	16890.9	0
32x36	32	36	31.94	36.02	15968.4	17702.8	3
32x38	32	38	31.9	38.02	15956.1	18503.3	1
32x40	32	40	31.87	39.99	15944.1	19296.3	2
32x42	32	42	31.89	42.03	15953.0	20114.1	3
32x44	32	44	31.92	44.0	15962.6	20902.9	0
32x46	32	46	31.86	46.04	15940.6	21720.9	0
32x48	32	48	31.93	47.99	15964.3	22502.0	3
32x50	32	50	31.97	50.04	15981.2	23325.0	0
32x52	32	52	32.0	52.06	15989.6	24133.1	0
32x54	32	54	31.94	54.07	15968.9	24937.9	5
33x13	33	13	32.95	13.09	16334.0	8511.6	0
33x15	33	15	33.04	15.04	16365.4	9294.0	2
33x17	33	17	32.96	17.04	16337.3	10093.1	0
33x19	33	19	32.98	19.06	16344.7	10902.8	1
33x21	33	21	32.96	21.02	16335.6	11689.3	0
33x23	33	23	32.99	23.07	16349.2	12513.1	1
33x25	33	25	33.06	25.09	16371.9	13319.9	2
33x27	33	27	33.04	27.03	16365.3	14098.4	0
33x29	33	29	33.0	29.03	16350.2	14900.2	3
33x31	33	31	33.04	30.99	16367.1	15684.9	1
33x33	33	33	32.97	32.96	16340.9	16475.7	2
33x35	33	35	32.93	35.0	16326.3	17295.7	1
33x37	33	37	32.94	37.02	16331.1	18103.4	1
33x39	33	39	32.88	38.98	16309.2	18890.3	2
33x41	33	41	32.92	41.02	16322.6	19708.6	4
33x43	33	43	32.91	43.0	16318.8	20503.4	0
33x45	33	45	32.94	45.01	16330.0	21306.9	4
33x47	33	47	32.99	47.02	16346.5	22112.2	2
33x49	33	49	32.92	49.02	16321.3	22913.8	1
33x51	33	51	33.01	51.05	16355.1	23728.0	0
33x53	33	53	33.0	53.04	16353.1	24526.9	0
33x55	33	55	32.9	55.02	16315.5	25321.9	5
34x14	34	14	33.96	13.98	16696.8	8866.1	2
34x16	34	16	33.98	15.99	16705.4	9671.1	4
34x18	34	18	33.99	17.98	16710.4	10469.0	2
34x20	34	20	34.01	19.99	16714.4	11278.1	3
34x22	34	22	33.95	22.0	16695.1	12083.5	0
34x24	34	24	34.01	23.97	16716.8	12872.5	2
34x26	34	26	33.96	26.0	16699.4	13685.0	1
34x28	34	28	33.96	28.0	16699.2	14489.6	1
34x30	34	30	33.95	29.98	16694.3	15280.5	3
34x32	34	32	33.97	31.98	16700.5	16082.3	3
34x34	34	34	33.93	33.95	16688.5	16874.6	3
34x36	34	36	33.96	35.98	16698.7	17687.4	1
34x38	34	38	33.92	37.99	16685.0	18494.3	1
34x40	34	40	33.96	39.97	16697.6	19285.8	2
34x42	34	42	33.97	41.99	16699.8	20095.4	0
34x44	34	44	33.99	43.97	16710.3	20891.0	0
34x46	34	46	33.96	45.98	16698.2	21697.7	0
34x48	34	48	33.98	47.97	16704.3	22495.1	0
34x50	34	50	34.0	49.97	16714.0	23294.3	0
34x52	34	52	34.0	51.98	16712.4	24099.6	0
34x54	34	54	33.97	53.99	16701.9	24909.0	0
35x15	35	15	34.96	14.99	17057.5	9273.8	1
35x17	35	17	35.02	17.0	17079.7	10076.3	4
35x19	35	19	34.99	18.99	17067.8	10874.4	0
35x21	35	21	34.98	20.98	17067.1	11673.2	0
35x23	35	23	34.98	23.0	17066.7	12485.1	3
35x25	35	25	34.98	24.98	17064.1	13276.2	3
35x27	35	27	34.95	27.02	17055.3	14095.8	1
35x29	35	29	35.06	28.99	17094.3	14883.2	1
35x31	35	31	34.96	30.97	17060.1	15680.3	1
35x33	35	33	34.93	32.95	17046.3	16473.3	2
35x35	35	35	34.95	34.96	17056.4	17276.3	0
35x37	35	37	34.97	36.97	17063.4	18083.9	1
35x39	35	39	34.96	38.97	17056.8	18885.8	0
35x41	35	41	34.99	40.96	17068.5	19684.6	3
35x43	35	43	35.0	42.99	17071.6	20498.5	0
35x45	35	45	35.0	44.97	17073.3	21292.1	2
35x47	35	47	34.97	46.98	17061.5	22095.3	0
35x49	35	49	34.99	48.96	17069.0	22890.7	0
35x51	35	51	35.0	50.96	17071.9	23693.7	0
35x53	35	53	35.01	52.96	17075.8	24494.8	2
36x14	36	14	35.96	13.98	17420.4	8865.3	3
36x16	36	16	35.98	15.96	17426.9	9660.7	4
36x18	36	18	35.98	17.99	17427.6	10473.4	3
36x20	36	20	36.01	19.97	17438.5	11270.3	1
36x22	36	22	35.96	21.97	17420.4	12069.3	0
36x24	36	24	35.94	23.97	17410.4	12873.2	1
36x26	36	26	35.97	25.94	17423.5	13663.6	4
