	x	y	new_x	new_y	pixel_x	pixel_y	cluster
18x30	18	30	18.09	30.01	10931.0	15686.8	0
18x32	18	32	18.1	32.0	10935.2	16486.1	0
18x34	18	34	18.15	34.01	10953.1	17294.0	0
19x29	19	29	19.1	29.02	11293.9	15291.6	1
19x31	19	31	19.2	31.03	11329.3	16098.9	4
19x33	19	33	19.14	32.99	11308.4	16884.0	1
19x35	19	35	19.15	35.05	11312.9	17712.4	2
20x28	20	28	20.15	28.03	11670.6	14893.4	1
20x30	20	30	20.11	30.03	11656.6	15696.2	1
20x32	20	32	20.11	32.02	11657.1	16495.8	1
20x34	20	34	20.1	33.98	11653.1	17279.4	2
20x36	20	36	20.13	36.0	11666.5	18090.8	0
20x38	20	38	20.08	38.01	11645.9	18900.0	3
21x29	21	29	21.12	29.05	12019.9	15304.9	1
21x31	21	31	21.13	31.04	12023.7	16101.4	1
21x33	21	33	21.13	33.0	12023.3	16889.8	1
21x35	21	35	21.14	35.03	12029.9	17703.2	3
21x37	21	37	21.0	37.0	11979.3	18493.2	0
21x39	21	39	21.12	38.99	12022.4	19292.6	0
22x28	22	28	22.2	28.05	12408.3	14902.4	1
22x30	22	30	22.13	30.04	12382.9	15698.5	1
22x32	22	32	22.15	32.04	12390.8	16501.2	1
22x34	22	34	22.15	34.05	12391.6	17308.4	3
22x36	22	36	22.14	36.04	12388.2	18107.5	1
22x38	22	38	22.13	37.98	12383.3	18885.5	3
22x40	22	40	22.14	40.0	12388.7	19696.2	2
23x29	23	29	23.15	29.06	12752.3	15305.4	1
23x31	23	31	23.16	31.02	12755.5	16094.1	1
23x33	23	33	23.13	33.04	12743.0	16903.9	0
23x35	23	35	23.13	35.07	12745.7	17718.7	1
23x37	23	37	23.1	37.02	12733.8	18500.6	1
23x39	23	39	23.12	39.01	12741.8	19297.9	0
23x41	23	41	23.11	41.03	12738.4	20109.4	0
23x43	23	43	23.14	43.04	12748.5	20915.3	1
24x28	24	28	24.17	28.05	13117.2	14903.5	1
24x30	24	30	24.12	29.97	13101.8	15673.3	1
24x32	24	32	24.12	32.04	13101.4	16503.2	0
