	x	y	new_x	new_y	pixel_x	pixel_y	cluster
7x53	7	53	7.04	52.95	6554.9	22264.0	1
8x50	8	50	8.07	49.96	6926.0	21065.0	0
8x52	8	52	8.02	51.97	6908.6	21867.7	0
8x54	8	54	8.05	53.95	6920.1	22663.6	0
8x56	8	56	8.07	55.95	6925.9	23464.7	0
9x49	9	49	9.03	48.96	7274.3	20663.2	0
9x51	9	51	9.0	50.96	7261.4	21466.0	0
9x53	9	53	9.0	52.97	7262.8	22270.9	4
9x55	9	55	9.04	54.97	7278.2	23073.1	1
9x57	9	57	9.03	56.94	7274.5	23862.7	0
10x46	10	46	10.06	46.07	7644.9	19502.6	2
10x48	10	48	10.05	48.07	7643.4	20305.4	0
10x50	10	50	10.08	50.04	7654.3	21095.6	0
10x52	10	52	10.02	52.04	7632.7	21895.8	0
10x54	10	54	10.06	54.05	7644.9	22705.5	1
10x56	10	56	10.04	56.0	7638.7	23484.4	3
11x47	11	47	11.09	47.05	8017.5	19895.3	2
11x49	11	49	11.06	49.03	8006.9	20689.2	0
11x51	11	51	11.08	51.05	8015.4	21499.8	0
11x53	11	53	11.07	53.06	8011.5	22307.1	0
11x55	11	55	11.03	55.02	7996.8	23093.8	0
11x57	11	57	11.01	56.99	7988.5	23882.6	2
12x44	12	44	12.04	44.05	8359.1	18690.8	0
12x46	12	46	12.06	46.04	8368.3	19489.7	0
12x48	12	48	12.03	48.04	8356.5	20293.9	2
12x50	12	50	12.08	50.04	8376.1	21095.6	1
12x52	12	52	12.02	52.06	8354.2	21903.6	2
12x54	12	54	12.04	54.02	8359.3	22691.3	1
12x56	12	56	12.04	56.0	8359.4	23487.7	2
12x58	12	58	12.09	57.93	8379.2	24261.8	0
13x45	13	45	13.04	45.03	8721.1	19084.5	4
13x47	13	47	13.05	47.04	8725.4	19893.5	0
13x49	13	49	13.09	49.05	8739.2	20696.7	2
13x51	13	51	13.05	51.04	8725.2	21495.9	1
13x53	13	53	13.09	53.04	8739.4	22296.9	2
13x55	13	55	13.04	54.95	8722.5	23065.1	0
13x57	13	57	13.06	56.98	8727.3	23880.1	0
14x44	14	44	14.02	43.89	9076.0	18629.7	1
14x46	14	46	14.02	45.9	9074.4	19433.8	0
14x48	14	48	14.04	47.92	9083.3	20244.3	0
14x50	14	50	14.05	49.91	9083.9	21043.7	0
